Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,CAB,,7.4,0,50.6,1.5
01/01/2016,2,CAB,68.994,6.4,0,55.7,1.7
01/01/2016,3,CAB,70.697,5.4,0,61.2,2
01/01/2016,4,CAB,76.095,5,0,63.3,2.1
01/01/2016,5,CAB,75.123,4.5,0,65.5,2.3
01/01/2016,6,CAB,74.895,4.1,0,67.8,2.4
01/01/2016,7,CAB,74.74,4.1,0,68.4,2.4
01/01/2016,8,CAB,74.56,4.1,0,68.9,2.4
01/01/2016,9,CAB,73.306,4.1,0,69.4,2.5
01/01/2016,10,CAB,72.409,7.2,0,54.1,1.9
01/01/2016,11,CAB,74.451,10.4,0,42.4,1.3
01/01/2016,12,CAB,74.99,13.5,0,33.3,0.8
01/01/2016,13,CAB,74.148,15.1,0,31.1,1.1
01/01/2016,14,CAB,72.393,16.7,0,29.1,1.4
01/01/2016,15,CAB,70.785,18.3,0,27.3,1.8
01/01/2016,16,CAB,68.893,17.8,0,26.8,2
01/01/2016,17,CAB,68.22,17.4,0,26.3,2.3
01/01/2016,18,CAB,68.315,16.9,0,25.8,2.5
01/01/2016,19,CAB,71.063,14.8,0,30,2.3
01/01/2016,20,CAB,78.548,12.7,0,34.9,2.1
01/01/2016,21,CAB,80.241,10.6,0,40.8,1.9
01/01/2016,22,CAB,82.004,10.4,0,40.7,1.5
01/01/2016,23,CAB,81.074,10.2,0,40.6,1.1
01/01/2016,24,CAB,78.466,10,0,40.5,0.6
02/01/2016,1,CAB,75.052,8.8,0,45.9,1.3
02/01/2016,2,CAB,72.537,7.6,0,52.1,1.9
02/01/2016,3,CAB,71.668,6.4,0,59.1,2.5
02/01/2016,4,CAB,70.992,6.3,0,63.6,2.6
02/01/2016,5,CAB,70.236,6.2,0,68.5,2.7
02/01/2016,6,CAB,70.08,6.1,0,73.7,2.7
02/01/2016,7,CAB,70.628,6.3,0,71.7,2.8
02/01/2016,8,CAB,73.536,6.5,0,69.7,2.9
02/01/2016,9,CAB,76.839,6.7,0,67.7,3
02/01/2016,10,CAB,82.069,10.4,0,53.2,2.6
02/01/2016,11,CAB,86.954,14,0,42,2.2
02/01/2016,12,CAB,87.6,17.7,0,33.4,1.8
02/01/2016,13,CAB,87.277,19.3,0,32.9,1.4
02/01/2016,14,CAB,87.164,20.9,0,32.4,1.1
02/01/2016,15,CAB,86.663,22.4,0,31.8,0.7
02/01/2016,16,CAB,86.17,21.9,0,33.2,1.3
02/01/2016,17,CAB,84.584,21.5,0,34.6,1.8
02/01/2016,18,CAB,84.274,21,0,36.1,2.4
02/01/2016,19,CAB,85.558,18.9,0,39.3,2.6
02/01/2016,20,CAB,92.829,16.7,0,43,2.8
02/01/2016,21,CAB,93.209,14.6,0,47.1,3.1
02/01/2016,22,CAB,91.66,13.4,0,51.4,2.7
02/01/2016,23,CAB,91.005,12.1,0,56.2,2.3
02/01/2016,24,CAB,88.089,10.9,0,61.4,1.9
03/01/2016,1,CAB,84.881,10.5,0,64.5,2.2
03/01/2016,2,CAB,81.8,10.1,0,67.8,2.6
03/01/2016,3,CAB,79.958,9.7,0,71.2,2.9
03/01/2016,4,CAB,78.576,9.5,0,70.6,3
03/01/2016,5,CAB,78.006,9.3,0,70,3.1
03/01/2016,6,CAB,76.905,9.1,0,69.4,3.2
03/01/2016,7,CAB,77.377,9,0,67.4,3.2
03/01/2016,8,CAB,78.875,8.9,0,65.5,3.2
03/01/2016,9,CAB,80.158,8.8,0,63.6,3.2
03/01/2016,10,CAB,83.847,12.3,0,48.8,3.3
03/01/2016,11,CAB,86.416,15.9,0,37.6,3.5
03/01/2016,12,CAB,86.774,19.4,0,29.1,3.6
03/01/2016,13,CAB,85.252,21,0,27.1,3.7
03/01/2016,14,CAB,83.141,22.6,0,25.3,3.8
03/01/2016,15,CAB,80.555,24.2,0,23.6,3.8
03/01/2016,16,CAB,74.128,23.7,0,25,3.2
03/01/2016,17,CAB,72.788,23.2,0,26.4,2.6
03/01/2016,18,CAB,73.25,22.7,0,28,2
03/01/2016,19,CAB,75.462,20.5,0,33.8,2
03/01/2016,20,CAB,81.303,18.4,0,41,2.1
03/01/2016,21,CAB,80.72,16.2,0,49.7,2.2
03/01/2016,22,CAB,79.67,15.2,0,53.3,1.9
03/01/2016,23,CAB,78.367,14.3,0,57.3,1.6
03/01/2016,24,CAB,75.789,13.3,0,61.5,1.3
04/01/2016,1,CAB,76.815,12.8,0,62.9,1.3
04/01/2016,2,CAB,76.181,12.3,0,64.4,1.2
04/01/2016,3,CAB,74.281,11.8,0,65.9,1.2
04/01/2016,4,CAB,72.416,11.1,0,69.1,1.7
04/01/2016,5,CAB,72.365,10.4,0,72.4,2.3
04/01/2016,6,CAB,72.624,9.7,0,75.9,2.8
04/01/2016,7,CAB,74.797,9.6,0.23,75.8,2.7
04/01/2016,8,CAB,78.19,9.6,0.23,75.8,2.5
04/01/2016,9,CAB,81.175,9.5,0.24,75.7,2.3
04/01/2016,10,CAB,81.953,11.2,1.2,72.5,3.2
04/01/2016,11,CAB,80.972,12.9,1.2,69.4,4.1
04/01/2016,12,CAB,78.759,14.6,1.2,66.5,4.9
04/01/2016,13,CAB,77.349,15.2,1.23,66.7,5.1
04/01/2016,14,CAB,76.995,15.8,1.23,66.8,5.2
04/01/2016,15,CAB,75.658,16.5,1.23,66.9,5.3
04/01/2016,16,CAB,73.584,16,0.82,71.1,4.6
04/01/2016,17,CAB,72.821,15.5,0.82,75.5,3.8
04/01/2016,18,CAB,72.807,15,0.82,80.2,3.1
04/01/2016,19,CAB,73.78,14,0.29,83.6,2.6
04/01/2016,20,CAB,77.57,13,0.29,87.1,2.2
04/01/2016,21,CAB,78.591,12,0.29,90.9,1.8
04/01/2016,22,CAB,78.324,11.6,0.07,91.4,1.9
04/01/2016,23,CAB,76.915,11.3,0.07,91.9,1.9
04/01/2016,24,CAB,73.542,11,0.07,92.4,2
05/01/2016,1,CAB,69.32,10.7,0.21,91.8,1.9
05/01/2016,2,CAB,66.15,10.5,0.21,91.2,1.8
05/01/2016,3,CAB,64.504,10.2,0.21,90.6,1.7
05/01/2016,4,CAB,63.435,10.2,0,92.2,2.1
05/01/2016,5,CAB,62.645,10.2,0,93.8,2.4
05/01/2016,6,CAB,63.43,10.2,0,95.4,2.7
05/01/2016,7,CAB,63.772,10.6,0,95,2.9
05/01/2016,8,CAB,66.214,10.9,0,94.6,3.2
05/01/2016,9,CAB,67.384,11.3,0,94.2,3.4
05/01/2016,10,CAB,68.398,12.5,0.11,87,3.5
05/01/2016,11,CAB,71.167,13.7,0.11,80.3,3.6
05/01/2016,12,CAB,72.963,15,0.11,74.2,3.7
05/01/2016,13,CAB,73.605,15.5,0,69.9,3.9
05/01/2016,14,CAB,74.323,16,0,65.9,4.1
05/01/2016,15,CAB,76.658,16.5,0,62.1,4.3
05/01/2016,16,CAB,75.989,16.3,0,64,4
05/01/2016,17,CAB,77.241,16.1,0,66,3.8
05/01/2016,18,CAB,77.774,15.9,0,68,3.5
05/01/2016,19,CAB,78.488,14.7,0,73.6,3.3
05/01/2016,20,CAB,82.213,13.6,0,79.7,3
05/01/2016,21,CAB,81.956,12.5,0,86.3,2.8
05/01/2016,22,CAB,81.012,11.9,0,84.7,2.9
05/01/2016,23,CAB,78.602,11.3,0,83,3
05/01/2016,24,CAB,75.802,10.7,0,81.4,3
06/01/2016,1,CAB,70.48,10.7,0,80.9,2.9
06/01/2016,2,CAB,66.578,10.8,0,80.4,2.7
06/01/2016,3,CAB,63.792,10.9,0,79.9,2.6
06/01/2016,4,CAB,62.857,10.6,0.73,82.8,2.4
06/01/2016,5,CAB,63.719,10.4,0.73,85.7,2.2
06/01/2016,6,CAB,64.267,10.2,0.73,88.8,2
06/01/2016,7,CAB,64.41,10.5,0.12,88.5,2.3
06/01/2016,8,CAB,67.103,10.8,0.12,88.2,2.6
06/01/2016,9,CAB,70.232,11.1,0.12,87.9,2.9
06/01/2016,10,CAB,73.138,11.9,0.07,82.5,3.2
06/01/2016,11,CAB,74.716,12.7,0.07,77.4,3.6
06/01/2016,12,CAB,76.697,13.5,0.07,72.7,4
06/01/2016,13,CAB,77.533,14.2,0,66.9,3.5
06/01/2016,14,CAB,76.977,14.9,0,61.5,3.1
06/01/2016,15,CAB,76.379,15.6,0,56.5,2.6
06/01/2016,16,CAB,75.688,15.5,0,56.2,2.9
06/01/2016,17,CAB,75.476,15.5,0,55.9,3.2
06/01/2016,18,CAB,75.264,15.4,0,55.6,3.5
06/01/2016,19,CAB,76.755,14,0,63.2,3.2
06/01/2016,20,CAB,81.365,12.6,0,71.9,2.9
06/01/2016,21,CAB,81.069,11.2,0,81.9,2.6
06/01/2016,22,CAB,79.257,10.5,0,84.3,2.6
06/01/2016,23,CAB,77.682,9.8,0,86.8,2.5
06/01/2016,24,CAB,75.79,9.1,0,89.4,2.5
07/01/2016,1,CAB,71.747,8.8,0,87.5,2.5
07/01/2016,2,CAB,67.843,8.4,0,85.5,2.6
07/01/2016,3,CAB,66.507,8,0,83.6,2.6
07/01/2016,4,CAB,65.484,8.6,0,82.1,2.4
07/01/2016,5,CAB,65.6,9.1,0,80.6,2.2
07/01/2016,6,CAB,65.889,9.6,0,79.2,2
07/01/2016,7,CAB,66.393,9.8,0.07,81.4,2.6
07/01/2016,8,CAB,68.197,9.9,0.07,83.6,3.2
07/01/2016,9,CAB,71.297,10.1,0.07,85.9,3.8
07/01/2016,10,CAB,74.397,11.6,0.15,81.2,5.1
07/01/2016,11,CAB,77.487,13.1,0.15,76.9,6.3
07/01/2016,12,CAB,78.144,14.6,0.15,72.9,7.5
07/01/2016,13,CAB,79.709,14.4,0.99,71.3,8.6
07/01/2016,14,CAB,77.26,14.3,0.99,69.8,9.7
07/01/2016,15,CAB,76.802,14.1,0.99,68.2,10.8
07/01/2016,16,CAB,75.534,13.3,0.21,74.2,9.6
07/01/2016,17,CAB,73.317,12.6,0.21,80.8,8.4
07/01/2016,18,CAB,74.691,11.8,0.21,87.9,7.2
07/01/2016,19,CAB,76.489,11.3,1.89,87.9,6.2
07/01/2016,20,CAB,82.251,10.8,1.89,87.8,5.2
07/01/2016,21,CAB,82.916,10.3,1.89,87.8,4.1
07/01/2016,22,CAB,82.395,9.5,0.8,90,4
07/01/2016,23,CAB,80.174,8.6,0.8,92.3,3.8
07/01/2016,24,CAB,76.354,7.7,0.8,94.7,3.7
08/01/2016,1,CAB,71.305,7.4,0.64,94.1,3.3
08/01/2016,2,CAB,68.229,7.1,0.64,93.6,2.9
08/01/2016,3,CAB,66.388,6.8,0.64,93.1,2.6
08/01/2016,4,CAB,65.546,6.8,0,93.3,1.8
08/01/2016,5,CAB,67.015,6.8,0,93.6,1
08/01/2016,6,CAB,67.283,6.8,0,93.8,0.2
08/01/2016,7,CAB,68.119,6.4,0,94.8,0.7
08/01/2016,8,CAB,72.256,6.1,0,95.8,1.2
08/01/2016,9,CAB,74.179,5.7,0,96.8,1.7
08/01/2016,10,CAB,75.709,7.3,0,89,1.4
08/01/2016,11,CAB,77.293,8.9,0,82,1.2
08/01/2016,12,CAB,78.484,10.5,0,75.6,0.9
08/01/2016,13,CAB,78.708,11.2,0,68.1,1.8
08/01/2016,14,CAB,79.196,12,0,61.3,2.6
08/01/2016,15,CAB,78.576,12.7,0,55.2,3.5
08/01/2016,16,CAB,79.75,12.5,0,55.5,3.6
08/01/2016,17,CAB,79.959,12.4,0,55.8,3.7
08/01/2016,18,CAB,79.454,12.2,0,56.1,3.7
08/01/2016,19,CAB,80.556,10.8,0,62.7,3.2
08/01/2016,20,CAB,85.486,9.4,0,70.1,2.6
08/01/2016,21,CAB,86.004,8,0,78.5,2.1
08/01/2016,22,CAB,85.042,7.6,0,79.1,2.1
08/01/2016,23,CAB,83.868,7.2,0,79.8,2
08/01/2016,24,CAB,81.76,6.8,0,80.4,2
09/01/2016,1,CAB,77.745,6.2,0,82.8,2.1
09/01/2016,2,CAB,75.025,5.6,0,85.2,2.2
09/01/2016,3,CAB,72.607,5.1,0,87.6,2.3
09/01/2016,4,CAB,71.536,4.6,0,89.2,2.3
09/01/2016,5,CAB,71.482,4.2,0,90.9,2.4
09/01/2016,6,CAB,71.814,3.7,0,92.5,2.4
09/01/2016,7,CAB,71.599,3.7,0,91.9,2.3
09/01/2016,8,CAB,73.36,3.7,0,91.3,2.3
09/01/2016,9,CAB,75.416,3.7,0,90.6,2.2
09/01/2016,10,CAB,77.64,6.3,0,79.1,1.8
09/01/2016,11,CAB,79.583,8.9,0,69.2,1.5
09/01/2016,12,CAB,81.563,11.5,0,60.8,1.1
09/01/2016,13,CAB,82.13,12.4,0,55,1.8
09/01/2016,14,CAB,82.524,13.3,0,49.7,2.6
09/01/2016,15,CAB,80.998,14.2,0,45,3.3
09/01/2016,16,CAB,78.713,14.1,0,47.4,3
