Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,CUL,,16.5,0,86.1,1.1
01/01/2016,2,CUL,186.946,16.2,0,88.4,0.9
01/01/2016,3,CUL,181.722,15.9,0,90.9,0.8
01/01/2016,4,CUL,174.607,15.9,0,89.9,1
01/01/2016,5,CUL,168.214,15.9,0,88.9,1.2
01/01/2016,6,CUL,162.635,15.9,0,87.9,1.4
01/01/2016,7,CUL,160.264,16.1,0,87.1,1.5
01/01/2016,8,CUL,159.364,16.7,0,84.5,1.6
01/01/2016,9,CUL,148.843,17.1,0,83.1,1.8
01/01/2016,10,CUL,151.38,18.6,0,76,1.3
01/01/2016,11,CUL,158.216,20.1,0,69.8,0.9
01/01/2016,12,CUL,164.269,21.5,0,64.2,0.5
01/01/2016,13,CUL,170.452,23.6,0,56.8,0.5
01/01/2016,14,CUL,173.78,25.6,0,50.6,0.5
01/01/2016,15,CUL,175.308,27.6,0,45.3,0.5
01/01/2016,16,CUL,175.035,25.6,0,52.8,0.6
01/01/2016,17,CUL,173.169,23.7,0,61.4,0.8
01/01/2016,18,CUL,174.696,21.8,0,71.4,0.9
01/01/2016,19,CUL,189.612,20.6,0,72.9,1.2
01/01/2016,20,CUL,214.77,19.6,0,74,1.5
01/01/2016,21,CUL,217.509,18.6,0,74.8,1.8
01/01/2016,22,CUL,213.911,18.2,0,77.9,1.5
01/01/2016,23,CUL,206.115,17.7,0,81,1.2
01/01/2016,24,CUL,194.128,17.3,0,84.3,0.9
02/01/2016,1,CUL,181.093,17.1,0,85.9,1
02/01/2016,2,CUL,169.756,17,0,87.5,1
02/01/2016,3,CUL,163.232,16.8,0,89.2,1.1
02/01/2016,4,CUL,159.183,16.8,0,89.6,1.1
02/01/2016,5,CUL,157.366,16.8,0,90,1.1
02/01/2016,6,CUL,157.62,16.7,0,90.4,1.1
02/01/2016,7,CUL,161.855,17,0,89.4,1.3
02/01/2016,8,CUL,168.338,17.5,0,86.3,1.5
02/01/2016,9,CUL,172.407,18,0,83.9,1.6
02/01/2016,10,CUL,191.269,21,0,70.1,1.3
02/01/2016,11,CUL,211.391,23.9,0,58.7,1
02/01/2016,12,CUL,227.341,26.8,0,49.5,0.7
02/01/2016,13,CUL,242.136,27.7,0,45.9,1.1
02/01/2016,14,CUL,248.244,28.6,0,42.9,1.5
02/01/2016,15,CUL,252.457,29.3,0,40.2,1.9
02/01/2016,16,CUL,252.842,27.3,0,43.9,2.2
02/01/2016,17,CUL,249.302,25.3,0,48,2.5
02/01/2016,18,CUL,243.717,23.3,0,52.7,2.8
02/01/2016,19,CUL,248.721,21,0,60.7,2.4
02/01/2016,20,CUL,272.45,18.9,0,68.9,2.1
02/01/2016,21,CUL,267.225,17,0,77.5,1.8
02/01/2016,22,CUL,256.253,16.5,0,80.7,1.7
02/01/2016,23,CUL,243.159,15.9,0,84,1.7
02/01/2016,24,CUL,228.2,15.4,0,87.6,1.7
03/01/2016,1,CUL,210.853,14.9,0,89.2,1.6
03/01/2016,2,CUL,195.049,14.5,0,90.8,1.5
03/01/2016,3,CUL,184.578,14,0,92.5,1.5
03/01/2016,4,CUL,177.173,13.7,0,93.9,1.5
03/01/2016,5,CUL,172.354,13.4,0,95.4,1.4
