Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,GSV,,15.6,0,68.1,2.2
01/01/2016,2,GSV,59.197,15.4,0,69.1,2.1
01/01/2016,3,GSV,56.661,15.2,0,70,2
01/01/2016,4,GSV,53.827,15.1,0,70.4,2.1
01/01/2016,5,GSV,51.571,15,0,70.8,2.1
01/01/2016,6,GSV,50.269,14.9,0,71.1,2.1
01/01/2016,7,GSV,50.377,15.1,0,69,2.2
01/01/2016,8,GSV,51.164,15.7,0,65.2,2.4
01/01/2016,9,GSV,49.014,16.2,0,62.3,2.6
01/01/2016,10,GSV,51.218,18.3,0,55.5,2.3
01/01/2016,11,GSV,53.501,20.4,0,49.6,2
01/01/2016,12,GSV,55.799,22.5,0,44.6,1.6
01/01/2016,13,GSV,56.872,24,0,41.8,1.6
01/01/2016,14,GSV,56.944,25.3,0,39.4,1.5
01/01/2016,15,GSV,56.481,26.6,0,37.4,1.4
01/01/2016,16,GSV,55.311,24.8,0,42.9,1.4
01/01/2016,17,GSV,54.824,23,0,49.3,1.5
01/01/2016,18,GSV,55.466,21.1,0,56.8,1.6
01/01/2016,19,GSV,60.289,19.7,0,59.9,1.8
01/01/2016,20,GSV,68.337,18.5,0,62.4,2
01/01/2016,21,GSV,69.36,17.4,0,64.4,2.1
01/01/2016,22,GSV,67.642,16.5,0,68.4,1.9
01/01/2016,23,GSV,63.406,15.6,0,72.5,1.7
01/01/2016,24,GSV,58.394,14.6,0,77,1.5
02/01/2016,1,GSV,53.127,14.8,0,76.7,1.4
02/01/2016,2,GSV,49.625,14.9,0,76.4,1.4
02/01/2016,3,GSV,47.647,15.1,0,76,1.3
02/01/2016,4,GSV,46.594,15,0,76,1.5
02/01/2016,5,GSV,46.036,14.9,0,76.1,1.8
02/01/2016,6,GSV,46.655,14.9,0,76.1,2
02/01/2016,7,GSV,48.387,15,0,77.3,1.9
02/01/2016,8,GSV,51.441,15.5,0,76.2,1.8
02/01/2016,9,GSV,54.49,15.9,0,75.8,1.7
02/01/2016,10,GSV,61.242,19.1,0,64.7,1.4
02/01/2016,11,GSV,66.239,22.2,0,55.7,1.1
02/01/2016,12,GSV,70.223,25.3,0,48.3,0.8
02/01/2016,13,GSV,71.583,26.4,0,44.8,1.2
02/01/2016,14,GSV,72.624,27.4,0,41.8,1.5
02/01/2016,15,GSV,72.595,28.3,0,39.2,1.9
02/01/2016,16,GSV,72.344,26.6,0,41.7,2.1
02/01/2016,17,GSV,71.449,24.8,0,44.5,2.2
02/01/2016,18,GSV,69.426,23,0,47.6,2.4
02/01/2016,19,GSV,70.722,20.8,0,53.5,2.5
02/01/2016,20,GSV,80.768,18.8,0,59.4,2.7
02/01/2016,21,GSV,79.01,17.1,0,65.2,2.9
02/01/2016,22,GSV,74.885,16.3,0,70.4,2.6
02/01/2016,23,GSV,69.676,15.5,0,76.1,2.3
02/01/2016,24,GSV,64.365,14.7,0,82.2,2
03/01/2016,1,GSV,58.171,14.1,0,85.7,1.9
03/01/2016,2,GSV,53.816,13.6,0,89.4,1.8
03/01/2016,3,GSV,51.376,13,0,93.2,1.7
03/01/2016,4,GSV,49.68,12.7,0,94.1,1.6
03/01/2016,5,GSV,48.63,12.3,0,95.1,1.6
03/01/2016,6,GSV,48.748,12,0,96,1.5
03/01/2016,7,GSV,50.148,12.6,0,92.8,1.7
03/01/2016,8,GSV,52.569,13.7,0,87,1.9
03/01/2016,9,GSV,53.844,14.6,0,82.6,2.1
03/01/2016,10,GSV,58.587,18.2,0,67.7,1.7
03/01/2016,11,GSV,63.007,21.8,0,55.9,1.3
03/01/2016,12,GSV,65.978,25.4,0,46.7,0.9
03/01/2016,13,GSV,67.153,26.9,0,41.7,0.9
03/01/2016,14,GSV,67.461,28.3,0,37.5,0.9
03/01/2016,15,GSV,67.74,29.6,0,34,0.9
03/01/2016,16,GSV,67.747,28,0,39.9,1.1
03/01/2016,17,GSV,66.584,26.2,0,47,1.3
03/01/2016,18,GSV,64.414,24.5,0,55.5,1.4
03/01/2016,19,GSV,66.31,22.1,0,65.2,1.7
03/01/2016,20,GSV,76.627,19.9,0,75.7,2
03/01/2016,21,GSV,76.677,18,0,86.9,2.3
03/01/2016,22,GSV,74.02,17.1,0,88.2,2.3
03/01/2016,23,GSV,68.696,16.3,0,89.6,2.2
03/01/2016,24,GSV,62.586,15.5,0,91.1,2.2
04/01/2016,1,GSV,56.505,14.9,0,93,2
04/01/2016,2,GSV,52.092,14.3,0,95,1.8
04/01/2016,3,GSV,50.179,13.7,0,97,1.5
04/01/2016,4,GSV,48.814,13.2,0,98.5,1.7
04/01/2016,5,GSV,48.206,12.6,0,100,1.8
04/01/2016,6,GSV,48.58,12.1,0,100,1.9
04/01/2016,7,GSV,51.352,12.7,0,100,1.8
04/01/2016,8,GSV,55.397,13.7,0,96.5,1.6
04/01/2016,9,GSV,57.577,14.6,0,93.8,1.4
04/01/2016,10,GSV,62.522,17.8,0,74.9,1.1
04/01/2016,11,GSV,67.369,21,0,60.1,0.8
04/01/2016,12,GSV,70.534,24.1,0,48.5,0.5
04/01/2016,13,GSV,72.387,24.4,0,50.3,1.4
04/01/2016,14,GSV,72.897,24.6,0,52.4,2.3
04/01/2016,15,GSV,73.274,24.8,0,54.7,3.2
04/01/2016,16,GSV,74.032,24,0,57,3
04/01/2016,17,GSV,73.487,23.1,0,59.8,2.7
04/01/2016,18,GSV,71.99,22.2,0,63.1,2.4
04/01/2016,19,GSV,73.934,20,0,73.2,2.2
04/01/2016,20,GSV,84.471,18,0,84,2.1
04/01/2016,21,GSV,83.607,16.2,0,95.2,1.9
04/01/2016,22,GSV,79.166,15.6,0,96.3,1.6
04/01/2016,23,GSV,72.413,15.1,0,97.5,1.3
04/01/2016,24,GSV,64.476,14.6,0,98.8,1.1
05/01/2016,1,GSV,57.193,14.2,0,99.8,1.4
05/01/2016,2,GSV,52.782,13.9,0,100,1.7
05/01/2016,3,GSV,51.199,13.5,0,100,2
05/01/2016,4,GSV,49.625,13.5,0,100,1.7
05/01/2016,5,GSV,49.066,13.4,0,100,1.4
05/01/2016,6,GSV,49.547,13.3,0,100,1.1
05/01/2016,7,GSV,53.178,13.8,0,100,1.2
05/01/2016,8,GSV,59.774,14.5,0,96.4,1.2
05/01/2016,9,GSV,62.248,15.1,0,94,1.2
05/01/2016,10,GSV,65.752,18.2,0,79.5,1.2
05/01/2016,11,GSV,69.115,21.4,0,67.4,1.1
05/01/2016,12,GSV,71.731,24.5,0,57.5,1.1
05/01/2016,13,GSV,74.323,24.5,0.14,59.3,1.2
05/01/2016,14,GSV,74.689,24.4,0.14,61.6,1.4
05/01/2016,15,GSV,74.506,24.2,0.14,64.2,1.6
05/01/2016,16,GSV,74.793,23.7,0,65.2,1.7
05/01/2016,17,GSV,74.907,23.2,0,66.4,1.8
05/01/2016,18,GSV,74.101,22.6,0,67.8,1.9
05/01/2016,19,GSV,74.485,20.5,0,77.3,1.8
05/01/2016,20,GSV,85.838,18.6,0,87.3,1.7
05/01/2016,21,GSV,85.442,16.8,0,97.3,1.7
05/01/2016,22,GSV,81.529,16,0,98.7,1.8
05/01/2016,23,GSV,74.726,15.1,0,100,1.9
05/01/2016,24,GSV,66.246,14.2,0,100,2
06/01/2016,1,GSV,59.563,13.8,0,100,1.8
06/01/2016,2,GSV,54.679,13.4,0,100,1.7
06/01/2016,3,GSV,52.629,13,0,100,1.6
06/01/2016,4,GSV,51.148,13.2,0,100,1.5
06/01/2016,5,GSV,50.345,13.3,0,100,1.4
06/01/2016,6,GSV,51.195,13.4,0,100,1.4
06/01/2016,7,GSV,54.772,13.7,0,100,1.4
06/01/2016,8,GSV,61.835,14.2,0,97.6,1.5
06/01/2016,9,GSV,65.081,14.6,0,95.6,1.6
06/01/2016,10,GSV,67.656,17.6,0,73.9,1.4
06/01/2016,11,GSV,70.692,20.6,0,57.2,1.3
06/01/2016,12,GSV,72.757,23.7,0,44.4,1.2
06/01/2016,13,GSV,74.888,24.5,0,41.9,1.3
06/01/2016,14,GSV,73.909,25.3,0,39.7,1.3
06/01/2016,15,GSV,74.176,25.9,0,37.9,1.4
06/01/2016,16,GSV,74.219,24.9,0,42.5,1.6
06/01/2016,17,GSV,74.895,23.9,0,47.7,1.9
06/01/2016,18,GSV,73.861,22.8,0,53.6,2.1
06/01/2016,19,GSV,74.996,20.9,0,58.8,2.4
06/01/2016,20,GSV,85.346,19.2,0,63.9,2.7
06/01/2016,21,GSV,84.762,17.7,0,68.5,3
06/01/2016,22,GSV,80.084,17,0,73.1,2.8
06/01/2016,23,GSV,73.662,16.2,0,78,2.7
06/01/2016,24,GSV,65.925,15.5,0,83.2,2.6
07/01/2016,1,GSV,58.945,14.9,0,84.3,2.5
07/01/2016,2,GSV,54.659,14.4,0,85.5,2.3
07/01/2016,3,GSV,51.97,13.8,0,86.6,2.1
07/01/2016,4,GSV,50.94,13.4,0,85.7,2
07/01/2016,5,GSV,50.581,12.9,0,84.8,2
07/01/2016,6,GSV,51.454,12.5,0,83.8,1.9
07/01/2016,7,GSV,54.417,12.9,0,80.7,2.1
07/01/2016,8,GSV,60.178,13.8,0,75.3,2.4
07/01/2016,9,GSV,63.007,14.5,0,71,2.7
07/01/2016,10,GSV,65.365,17.8,0,55.1,2.6
07/01/2016,11,GSV,68.79,21.1,0,43.1,2.4
07/01/2016,12,GSV,71.514,24.2,0,34,2.3
07/01/2016,13,GSV,73,25.1,0,28.6,2.4
07/01/2016,14,GSV,72.242,26,0,24.2,2.6
07/01/2016,15,GSV,72.652,26.7,0,20.5,2.7
07/01/2016,16,GSV,73.127,25.4,0,23.7,2.8
07/01/2016,17,GSV,72.496,24.1,0,27.4,2.8
07/01/2016,18,GSV,71.846,22.8,0,31.8,2.9
07/01/2016,19,GSV,74.649,20.5,0,38.5,2.8
