Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,GYM,,15.7,0,59.4,5.9
01/01/2016,2,GYM,42.719,15.4,0,59.4,5.4
01/01/2016,3,GYM,41.736,15,0,59.4,4.9
01/01/2016,4,GYM,40.559,14.8,0,58.4,4.6
01/01/2016,5,GYM,40.281,14.5,0,57.5,4.3
01/01/2016,6,GYM,39.176,14.3,0,56.6,4
01/01/2016,7,GYM,38.73,14.2,0,56.4,3.8
01/01/2016,8,GYM,39.547,14.1,0,56.2,3.6
01/01/2016,9,GYM,37.644,14,0,56,3.5
01/01/2016,10,GYM,38.364,15.1,0,50.8,3.4
01/01/2016,11,GYM,38.941,16.3,0,46.1,3.4
01/01/2016,12,GYM,40.306,17.4,0,41.8,3.4
01/01/2016,13,GYM,41.789,18.3,0,40.8,3.9
01/01/2016,14,GYM,41.398,19.2,0,39.9,4.4
01/01/2016,15,GYM,42.084,20.1,0,38.9,4.9
01/01/2016,16,GYM,41.38,20.3,0,39.5,5.4
01/01/2016,17,GYM,40.604,20.5,0,40.2,5.8
01/01/2016,18,GYM,40.543,20.8,0,40.8,6.2
01/01/2016,19,GYM,41.186,20,0,44.9,6.5
01/01/2016,20,GYM,46.645,19.2,0,49.3,6.7
01/01/2016,21,GYM,47.282,18.5,0,54.2,6.9
01/01/2016,22,GYM,46.778,17.8,0,55.2,6.3
01/01/2016,23,GYM,45.306,17,0,56.3,5.7
01/01/2016,24,GYM,43.122,16.3,0,57.5,5.1
02/01/2016,1,GYM,40.83,16.1,0,58,4.7
02/01/2016,2,GYM,38.864,15.8,0,58.6,4.2
02/01/2016,3,GYM,37.528,15.5,0,59.2,3.8
02/01/2016,4,GYM,36.606,15.3,0,60.3,3.9
02/01/2016,5,GYM,36.367,15.2,0,61.4,3.9
02/01/2016,6,GYM,36.392,15,0,62.6,4
02/01/2016,7,GYM,37.934,14.9,0,62.3,3.9
02/01/2016,8,GYM,41.02,14.9,0,62.1,3.7
02/01/2016,9,GYM,44.265,14.8,0,61.8,3.5
02/01/2016,10,GYM,49.267,16.1,0,55.9,3.1
02/01/2016,11,GYM,53.188,17.3,0,50.6,2.7
02/01/2016,12,GYM,56.406,18.6,0,45.8,2.4
02/01/2016,13,GYM,58.176,19.3,0,47,3.2
02/01/2016,14,GYM,58.028,20,0,48.3,4.1
02/01/2016,15,GYM,58.312,20.7,0,49.6,4.9
02/01/2016,16,GYM,58.256,20.6,0,51.5,5.4
02/01/2016,17,GYM,57.82,20.5,0,53.4,5.8
02/01/2016,18,GYM,56.711,20.4,0,55.4,6.2
02/01/2016,19,GYM,56.307,19.9,0,58.4,6.2
02/01/2016,20,GYM,59.821,19.4,0,61.6,6.1
02/01/2016,21,GYM,58.437,18.9,0,65,6
02/01/2016,22,GYM,57.425,18.4,0,65.5,5.1
02/01/2016,23,GYM,55.542,17.9,0,65.9,4.2
02/01/2016,24,GYM,52.642,17.5,0,66.4,3.3
03/01/2016,1,GYM,49.773,17.2,0,67.6,2.9
03/01/2016,2,GYM,46.713,17,0,68.9,2.4
03/01/2016,3,GYM,45.328,16.8,0,70.2,2
03/01/2016,4,GYM,43.461,16.7,0,72.3,2.3
03/01/2016,5,GYM,42.7,16.6,0,74.4,2.6
03/01/2016,6,GYM,42.792,16.4,0,76.6,3
03/01/2016,7,GYM,43.67,16,0,77.3,3.1
03/01/2016,8,GYM,45.956,15.6,0,77.9,3.2
03/01/2016,9,GYM,47.707,15.2,0,78.5,3.3
03/01/2016,10,GYM,50.954,16.5,0,70,2.5
03/01/2016,11,GYM,53.378,17.8,0,62.5,1.7
03/01/2016,12,GYM,55.182,19,0,55.8,0.9
03/01/2016,13,GYM,56.049,19.2,0,59,2.1
03/01/2016,14,GYM,55.245,19.4,0,62.3,3.2
03/01/2016,15,GYM,55.166,19.5,0,65.8,4.3
03/01/2016,16,GYM,54.615,19.7,0,65.4,3.9
03/01/2016,17,GYM,53.818,19.9,0,65.1,3.5
03/01/2016,18,GYM,52.371,20.1,0,64.7,3.2
03/01/2016,19,GYM,52.607,19.8,0,67.2,3.5
03/01/2016,20,GYM,56.474,19.5,0,69.9,3.8
03/01/2016,21,GYM,56.459,19.2,0,72.6,4.1
03/01/2016,22,GYM,55.855,19,0,73.5,3.1
03/01/2016,23,GYM,53.983,18.8,0,74.3,2.1
03/01/2016,24,GYM,51.073,18.6,0,75.2,1.1
04/01/2016,1,GYM,48.538,18.6,0,76.3,1.9
04/01/2016,2,GYM,45.793,18.5,0,77.5,2.7
04/01/2016,3,GYM,44.583,18.4,0,78.7,3.5
04/01/2016,4,GYM,43.939,18,0,81.4,3.3
04/01/2016,5,GYM,43.866,17.5,0,84.3,3.2
04/01/2016,6,GYM,44.285,17.1,0,87.2,3.1
04/01/2016,7,GYM,48.093,17,0,88.2,2.8
04/01/2016,8,GYM,52.957,16.8,0,89.1,2.6
04/01/2016,9,GYM,58.036,16.7,0,90,2.3
04/01/2016,10,GYM,62.333,17.3,0,88.5,2.9
04/01/2016,11,GYM,66.879,17.8,0,87,3.4
04/01/2016,12,GYM,69.221,18.4,0,85.5,3.9
04/01/2016,13,GYM,71.307,18.7,0,83.7,3.9
04/01/2016,14,GYM,72.562,19,0,82,3.9
