Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,HMO,,10.2,0,59.4,0.4
01/01/2016,2,HMO,235.183,9.3,0,63.4,0.6
01/01/2016,3,HMO,230.731,8.5,0,67.6,0.8
01/01/2016,4,HMO,224.459,7.9,0,70.4,1
01/01/2016,5,HMO,219.945,7.3,0,73.3,1.3
01/01/2016,6,HMO,216.546,6.7,0,76.4,1.6
01/01/2016,7,HMO,216.365,6.7,0,76.6,1.7
01/01/2016,8,HMO,215.302,6.8,0,76.7,1.8
01/01/2016,9,HMO,205.709,6.9,0,76.8,1.9
01/01/2016,10,HMO,202.548,10.5,0,60.2,1.5
01/01/2016,11,HMO,206.944,14.1,0,47.4,1
01/01/2016,12,HMO,212.156,17.7,0,37.5,0.6
01/01/2016,13,HMO,214.333,19.1,0,35.4,1.1
01/01/2016,14,HMO,214.895,20.6,0,33.4,1.7
01/01/2016,15,HMO,211.743,22,0,31.5,2.2
01/01/2016,16,HMO,209.572,21.5,0,31.4,2.1
01/01/2016,17,HMO,208.046,20.9,0,31.4,2
01/01/2016,18,HMO,206.079,20.4,0,31.3,1.8
01/01/2016,19,HMO,216.307,18.4,0,33,2
01/01/2016,20,HMO,240.721,16.5,0,34.8,2.2
01/01/2016,21,HMO,243.611,14.5,0,36.7,2.3
01/01/2016,22,HMO,241.766,13.7,0,40.2,1.7
01/01/2016,23,HMO,237.769,12.9,0,44.1,1.1
01/01/2016,24,HMO,231.39,12.1,0,48.3,0.4
02/01/2016,1,HMO,225.622,11.2,0,53.8,0.8
02/01/2016,2,HMO,213.62,10.3,0,60,1.1
02/01/2016,3,HMO,207.36,9.4,0,66.8,1.4
02/01/2016,4,HMO,201.374,9.2,0,69.8,1.5
02/01/2016,5,HMO,199.018,9,0,72.9,1.7
02/01/2016,6,HMO,198.43,8.8,0,76.1,1.8
02/01/2016,7,HMO,203.617,9.2,0,74.3,2.1
02/01/2016,8,HMO,212.29,9.6,0,72.6,2.4
02/01/2016,9,HMO,217.73,10.1,0,71,2.8
02/01/2016,10,HMO,231.407,13.4,0,56.1,2.6
02/01/2016,11,HMO,244.533,16.7,0,44.5,2.5
02/01/2016,12,HMO,253.008,20,0,35.3,2.4
02/01/2016,13,HMO,256.27,21.5,0,34.2,1.6
02/01/2016,14,HMO,259.443,23.1,0,33.2,0.9
02/01/2016,15,HMO,261.875,24.6,0,32.2,0.2
02/01/2016,16,HMO,259.428,23.8,0,34.5,0.9
02/01/2016,17,HMO,257.684,22.9,0,37.1,1.6
02/01/2016,18,HMO,254.959,22,0,39.9,2.3
02/01/2016,19,HMO,262.635,20.2,0,43.6,2.3
02/01/2016,20,HMO,284.921,18.4,0,47.8,2.4
