Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,LMO,,15.5,0,79.1,2.3
01/01/2016,2,LMO,92.003,15.2,0,80.4,2.3
01/01/2016,3,LMO,89.069,14.9,0,81.8,2.2
01/01/2016,4,LMO,85.55,14.8,0,82.5,2.3
01/01/2016,5,LMO,81.953,14.7,0,83.1,2.4
01/01/2016,6,LMO,79.945,14.5,0,83.8,2.4
01/01/2016,7,LMO,79.44,14.8,0,82.4,2.8
01/01/2016,8,LMO,79.615,15.6,0,78,3.1
01/01/2016,9,LMO,76.751,16.3,0,74.8,3.4
01/01/2016,10,LMO,79.241,18.3,0,62.8,3.4
01/01/2016,11,LMO,83.717,20.3,0,53,3.4
01/01/2016,12,LMO,87.136,22.2,0,45,3.4
01/01/2016,13,LMO,88.601,23.5,0,40.7,3.5
01/01/2016,14,LMO,88.611,24.6,0,37,3.6
01/01/2016,15,LMO,88.781,25.7,0,34,3.8
01/01/2016,16,LMO,87.147,23.8,0,39.5,3.6
01/01/2016,17,LMO,86.551,21.8,0,46.1,3.5
01/01/2016,18,LMO,86.985,19.9,0,53.9,3.3
01/01/2016,19,LMO,93.983,18.5,0,60,3
01/01/2016,20,LMO,104.636,17.4,0,65.8,2.7
01/01/2016,21,LMO,105.78,16.6,0,70.8,2.4
01/01/2016,22,LMO,104.206,16.1,0,74.3,2.4
01/01/2016,23,LMO,99.983,15.6,0,77.9,2.4
01/01/2016,24,LMO,93.932,15.1,0,81.8,2.3
02/01/2016,1,LMO,86.992,15,0,82.1,2.3
02/01/2016,2,LMO,81.688,15,0,82.5,2.2
02/01/2016,3,LMO,78.3,15,0,82.8,2.2
02/01/2016,4,LMO,76.525,14.5,0,84.3,2.3
02/01/2016,5,LMO,75.327,13.9,0,85.9,2.4
02/01/2016,6,LMO,76.029,13.4,0,87.6,2.5
02/01/2016,7,LMO,78.486,13.8,0,85.4,2.8
02/01/2016,8,LMO,82.862,14.9,0,79.5,3.1
02/01/2016,9,LMO,84.719,15.7,0,75.2,3.3
02/01/2016,10,LMO,96.749,18.7,0,61.5,3
02/01/2016,11,LMO,106.1,21.6,0,50.7,2.6
02/01/2016,12,LMO,111.223,24.5,0,42.2,2.3
02/01/2016,13,LMO,114.769,25.5,0,39.5,2.6
02/01/2016,14,LMO,116.937,26.4,0,37.3,2.9
02/01/2016,15,LMO,118.905,27.1,0,35.6,3.2
02/01/2016,16,LMO,117.83,25.2,0,40.5,3.6
02/01/2016,17,LMO,115.777,23.2,0,46.3,4
02/01/2016,18,LMO,113.438,21.2,0,53.2,4.4
02/01/2016,19,LMO,114.767,19.2,0,62.4,4.1
02/01/2016,20,LMO,127.503,17.5,0,72,3.8
02/01/2016,21,LMO,126.778,16.1,0,81.1,3.5
02/01/2016,22,LMO,122.236,15.5,0,84.5,3.1
02/01/2016,23,LMO,115.466,14.8,0,88,2.8
02/01/2016,24,LMO,107.951,14.2,0,91.7,2.4
03/01/2016,1,LMO,99.891,13.8,0,93.1,2.4
03/01/2016,2,LMO,92.254,13.5,0,94.5,2.5
03/01/2016,3,LMO,87.655,13.1,0,96,2.5
03/01/2016,4,LMO,84.944,12.9,0,96,2.5
03/01/2016,5,LMO,83.306,12.7,0,96.1,2.6
03/01/2016,6,LMO,82.874,12.5,0,96.1,2.7
03/01/2016,7,LMO,84.52,13,0,94.8,2.7
03/01/2016,8,LMO,86.626,14.3,0,89.3,2.8
03/01/2016,9,LMO,86.973,15.3,0,85.4,2.8
03/01/2016,10,LMO,93.829,18.5,0,68.8,2.7
03/01/2016,11,LMO,100.076,21.7,0,55.8,2.5
03/01/2016,12,LMO,104.107,24.8,0,45.8,2.3
03/01/2016,13,LMO,106.304,26.1,0,41.7,2.3
03/01/2016,14,LMO,107.745,27.3,0,38.3,2.2
03/01/2016,15,LMO,110.425,28.4,0,35.6,2.2
03/01/2016,16,LMO,109.821,27.1,0,40.5,2.3
03/01/2016,17,LMO,107.818,25.6,0,46.4,2.4
03/01/2016,18,LMO,105.225,24.2,0,53.2,2.5
03/01/2016,19,LMO,108.747,21.6,0,64.2,2.8
03/01/2016,20,LMO,122.654,19.4,0,76.4,3.1
03/01/2016,21,LMO,123.611,17.5,0,88.8,3.5
03/01/2016,22,LMO,119.949,16.7,0,91.6,3.1
03/01/2016,23,LMO,113.622,15.9,0,94.5,2.8
03/01/2016,24,LMO,104.727,15.2,0,97.5,2.4
04/01/2016,1,LMO,95.693,14.6,0,98.9,2.1
04/01/2016,2,LMO,88.904,14,0,100,1.9
04/01/2016,3,LMO,85.802,13.4,0,100,1.6
04/01/2016,4,LMO,83.661,13.4,0,100,1.6
04/01/2016,5,LMO,82.815,13.4,0,100,1.5
04/01/2016,6,LMO,83.04,13.3,0,100,1.5
04/01/2016,7,LMO,87.239,13.6,0,100,1.6
04/01/2016,8,LMO,93.819,14.3,0,98.8,1.7
04/01/2016,9,LMO,98.338,14.8,0,97,1.7
04/01/2016,10,LMO,105.914,17.3,0,85.7,1.7
04/01/2016,11,LMO,113.924,19.9,0,75.7,1.7
04/01/2016,12,LMO,120.26,22.5,0,67,1.7
04/01/2016,13,LMO,124.683,23.2,0,61.9,1.9
04/01/2016,14,LMO,125.964,23.7,0,57.7,2.1
04/01/2016,15,LMO,126.871,24.2,0,54.1,2.3
04/01/2016,16,LMO,128.282,23.5,0,56.4,2.4
04/01/2016,17,LMO,127.569,22.7,0,59.3,2.6
04/01/2016,18,LMO,125.363,21.8,0,62.7,2.7
04/01/2016,19,LMO,127.218,20,0,70.4,2.5
04/01/2016,20,LMO,141.61,18.6,0,77.8,2.2
04/01/2016,21,LMO,142.697,17.5,0,84,1.9
04/01/2016,22,LMO,137.556,17.1,0,85.8,1.6
04/01/2016,23,LMO,129.241,16.6,0,87.6,1.3
04/01/2016,24,LMO,116.545,16.2,0,89.5,1.1
05/01/2016,1,LMO,104.91,15.9,0,91.5,1.4
05/01/2016,2,LMO,96.576,15.5,0,93.6,1.7
05/01/2016,3,LMO,92.477,15.2,0,95.7,2
05/01/2016,4,LMO,90.164,15.1,0,97,2
05/01/2016,5,LMO,88.838,14.9,0,98.2,1.9
05/01/2016,6,LMO,89.133,14.8,0,99.5,1.9
05/01/2016,7,LMO,94.434,15.2,0,98,1.9
05/01/2016,8,LMO,103.986,16.1,0,92.8,1.9
05/01/2016,9,LMO,108.132,16.9,0,89.4,1.9
05/01/2016,10,LMO,111.492,18.8,0.06,82,2.1
05/01/2016,11,LMO,115.322,20.7,0.06,75.9,2.3
05/01/2016,12,LMO,120.327,22.4,0.06,71,2.5
05/01/2016,13,LMO,126.951,23.4,0.05,64.9,2.5
05/01/2016,14,LMO,127.49,24.3,0.05,59.6,2.6
05/01/2016,15,LMO,127.51,25.1,0.05,55.2,2.6
05/01/2016,16,LMO,127.952,24,0,58.5,2.6
05/01/2016,17,LMO,127.575,22.8,0,62.4,2.6
05/01/2016,18,LMO,126.387,21.6,0,66.6,2.6
05/01/2016,19,LMO,127.604,19.7,0,74.6,2.4
05/01/2016,20,LMO,141.952,18.1,0,82.3,2.1
