Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,NOG,,3.8,0,64,1.3
01/01/2016,2,NOG,127.452,3.1,0,68.6,1.4
01/01/2016,3,NOG,126.151,2.5,0,73.5,1.5
01/01/2016,4,NOG,125.458,2.3,0,77,1.6
01/01/2016,5,NOG,122.96,2,0,80.5,1.8
01/01/2016,6,NOG,121.688,1.8,0,84.3,1.9
01/01/2016,7,NOG,120.804,2.3,0,84.7,2.1
01/01/2016,8,NOG,120.886,2.7,0,85.3,2.4
01/01/2016,9,NOG,116.718,3.2,0,86.1,2.6
01/01/2016,10,NOG,115.846,6.8,0,71.4,3
01/01/2016,11,NOG,117.166,10.5,0,59.6,3.3
01/01/2016,12,NOG,116.701,14.1,0,50.2,3.7
01/01/2016,13,NOG,116.724,15.2,0,42.8,3.1
01/01/2016,14,NOG,112.836,16.3,0,36.5,2.6
01/01/2016,15,NOG,109.548,17.4,0,31.1,2
01/01/2016,16,NOG,108.13,16.6,0,30.6,1.9
01/01/2016,17,NOG,108.64,15.9,0,30,1.8
01/01/2016,18,NOG,107.718,15.1,0,29.5,1.7
01/01/2016,19,NOG,115.501,13.3,0,33.6,1.8
01/01/2016,20,NOG,133.168,11.5,0,38.4,1.8
01/01/2016,21,NOG,136.517,9.7,0,43.7,1.8
01/01/2016,22,NOG,136.518,8,0,52.2,2.1
01/01/2016,23,NOG,134.781,6.2,0,62.1,2.5
01/01/2016,24,NOG,129.639,4.5,0,73.5,2.8
02/01/2016,1,NOG,123.164,3.8,0,76.3,2.8
02/01/2016,2,NOG,117.662,3,0,79.2,2.7
02/01/2016,3,NOG,114.636,2.3,0,82.2,2.7
02/01/2016,4,NOG,113.318,1.9,0,84.2,2.7
02/01/2016,5,NOG,111.651,1.4,0,86.2,2.7
02/01/2016,6,NOG,112.956,0.9,0,88.3,2.7
02/01/2016,7,NOG,115.207,1,0,87.6,2.8
02/01/2016,8,NOG,122.053,1.1,0,86.8,2.8
02/01/2016,9,NOG,124.716,1.1,0,86.1,2.9
02/01/2016,10,NOG,128.707,5.3,0,64.1,2.8
02/01/2016,11,NOG,134.614,9.5,0,47.8,2.6
02/01/2016,12,NOG,138.247,13.7,0,35.6,2.5
02/01/2016,13,NOG,138.474,15.3,0,33.2,2.2
02/01/2016,14,NOG,135.928,16.9,0,31,2
02/01/2016,15,NOG,132.7,18.4,0,28.9,1.7
02/01/2016,16,NOG,130.73,17.8,0,31.5,1.5
02/01/2016,17,NOG,126.736,17.2,0,34.2,1.3
02/01/2016,18,NOG,126.608,16.6,0,37.2,1.1
02/01/2016,19,NOG,134.26,14.3,0,42.9,1.6
02/01/2016,20,NOG,147.458,12.1,0,49.5,2.1
02/01/2016,21,NOG,150.252,9.9,0,57.1,2.7
02/01/2016,22,NOG,148.464,8.6,0,60.9,2.6
02/01/2016,23,NOG,146.815,7.4,0,65,2.6
02/01/2016,24,NOG,141.124,6.1,0,69.4,2.6
03/01/2016,1,NOG,134.293,5.3,0,73.3,2.6
03/01/2016,2,NOG,128.384,4.6,0,77.5,2.6
03/01/2016,3,NOG,123.888,3.9,0,81.9,2.5
03/01/2016,4,NOG,121.175,3.3,0,84.8,2.5
03/01/2016,5,NOG,120.303,2.8,0,87.7,2.4
03/01/2016,6,NOG,120.572,2.3,0,90.7,2.4
03/01/2016,7,NOG,122.585,2.2,0,90.6,2.4
03/01/2016,8,NOG,124.18,2.2,0,90.6,2.5
03/01/2016,9,NOG,123.552,2.1,0,90.5,2.6
03/01/2016,10,NOG,127.007,6.5,0,62.7,2.6
03/01/2016,11,NOG,131.624,10.9,0,43.2,2.6
03/01/2016,12,NOG,134.332,15.3,0,29.5,2.6
03/01/2016,13,NOG,135.12,16.8,0,24.3,2.8
03/01/2016,14,NOG,134.456,18.3,0,20,3
03/01/2016,15,NOG,132.405,19.8,0,16.4,3.2
03/01/2016,16,NOG,131.114,19,0,17.9,2.8
03/01/2016,17,NOG,128.227,18.2,0,19.6,2.4
03/01/2016,18,NOG,128.971,17.4,0,21.4,2
03/01/2016,19,NOG,136.109,15.3,0,26.3,2.2
03/01/2016,20,NOG,149.712,13.2,0,32.2,2.4
03/01/2016,21,NOG,152.423,11.1,0,39.4,2.6
03/01/2016,22,NOG,151.02,10.3,0,44.4,2.8
03/01/2016,23,NOG,147.51,9.5,0,50,3
03/01/2016,24,NOG,140.049,8.7,0,56.2,3.3
04/01/2016,1,NOG,130.888,7.9,0,59.3,3.1
04/01/2016,2,NOG,124.509,7.2,0,62.7,2.9
04/01/2016,3,NOG,119.909,6.5,0,66.2,2.8
04/01/2016,4,NOG,117.726,6.2,0,67.9,2.7
04/01/2016,5,NOG,117.862,5.9,0,69.7,2.6
04/01/2016,6,NOG,121.015,5.6,0,71.6,2.5
04/01/2016,7,NOG,128.891,5.7,0,71,2.7
04/01/2016,8,NOG,139.636,5.8,0,70.4,2.9
04/01/2016,9,NOG,150.949,5.9,0,69.9,3.1
04/01/2016,10,NOG,159.702,8,0.24,65.4,3.8
04/01/2016,11,NOG,167.626,10,0.24,61.4,4.6
04/01/2016,12,NOG,173.965,12.1,0.24,57.9,5.3
04/01/2016,13,NOG,178.769,11.7,0.97,62.6,5.2
04/01/2016,14,NOG,177.192,11.4,0.97,67.7,5.1
04/01/2016,15,NOG,175.574,11,0.97,73.1,5
04/01/2016,16,NOG,177.426,10.6,1.08,77.6,4.2
04/01/2016,17,NOG,178.248,10.2,1.08,82.3,3.4
04/01/2016,18,NOG,181.298,9.8,1.08,87.4,2.5
04/01/2016,19,NOG,183.812,9.3,1.36,89.3,2.5
04/01/2016,20,NOG,190.044,8.7,1.35,91.2,2.5
04/01/2016,21,NOG,190.782,8.2,1.35,93.3,2.4
04/01/2016,22,NOG,188.74,8.1,0.11,94.9,2.5
04/01/2016,23,NOG,182.436,7.9,0.11,96,2.6
04/01/2016,24,NOG,170.441,7.8,0.11,98.3,2.7
05/01/2016,1,NOG,160.338,7.8,0,98.5,2.6
05/01/2016,2,NOG,153.036,7.8,0,98.2,2.5
05/01/2016,3,NOG,149.77,7.7,0,96.6,2.3
05/01/2016,4,NOG,145.122,7.6,0,95.8,2.4
05/01/2016,5,NOG,143.804,7.5,0,95.2,2.6
05/01/2016,6,NOG,146.639,7.4,0,95,2.7
05/01/2016,7,NOG,153.28,7.1,0,96,2.8
05/01/2016,8,NOG,159.524,6.8,0,96.2,2.9
05/01/2016,9,NOG,169.711,6.4,0,96.4,3.1
05/01/2016,10,NOG,176.399,8,0,84.8,3.5
05/01/2016,11,NOG,180.497,9.5,0,74.5,4
05/01/2016,12,NOG,181.209,11.1,0,65.4,4.5
05/01/2016,13,NOG,181.917,11.3,0,62.4,4.6
05/01/2016,14,NOG,179.485,11.5,0,59.5,4.8
05/01/2016,15,NOG,179.618,11.8,0,56.8,5
05/01/2016,16,NOG,178.119,11.6,0,59.5,4.7
05/01/2016,17,NOG,176.337,11.4,0,62.3,4.4
05/01/2016,18,NOG,177.073,11.2,0,65.2,4.1
05/01/2016,19,NOG,181.866,10.2,0,70.9,3.5
05/01/2016,20,NOG,192.94,9.3,0,77,2.8
05/01/2016,21,NOG,193.079,8.3,0,83.8,2.2
05/01/2016,22,NOG,190.556,8.1,0.09,86.8,2.6
05/01/2016,23,NOG,186.025,8,0.09,90,2.9
05/01/2016,24,NOG,174.753,7.9,0.09,93.3,3.3
06/01/2016,1,NOG,165.586,7.5,0,93.1,3.5
06/01/2016,2,NOG,156.204,7,0,93,3.7
06/01/2016,3,NOG,151.437,6.6,0,92.8,3.8
06/01/2016,4,NOG,147.687,6.4,0.08,92.1,4
06/01/2016,5,NOG,144.92,6.1,0.08,91.3,4.1
06/01/2016,6,NOG,148.083,5.9,0.08,90.6,4.2
06/01/2016,7,NOG,154.578,5.9,0.21,91.6,4.1
06/01/2016,8,NOG,162.974,6,0.21,92.6,4.1
06/01/2016,9,NOG,171.7,6,0.21,93.6,4
06/01/2016,10,NOG,176.457,6.7,0.17,88,4.6
06/01/2016,11,NOG,180.451,7.3,0.16,82.7,5.1
06/01/2016,12,NOG,182.444,8,0.16,77.7,5.7
06/01/2016,13,NOG,185.144,8.8,0,68.8,5.7
06/01/2016,14,NOG,182.066,9.7,0,60.8,5.6
06/01/2016,15,NOG,181.019,10.6,0,53.6,5.5
06/01/2016,16,NOG,180.508,10.3,0,52.9,5.1
06/01/2016,17,NOG,178.37,10,0,52.3,4.6
06/01/2016,18,NOG,176.894,9.7,0,51.6,4.1
06/01/2016,19,NOG,179.836,8.1,0,59.2,3.4
06/01/2016,20,NOG,191.523,6.5,0,68.1,2.8
06/01/2016,21,NOG,190.956,4.9,0,78.2,2.1
06/01/2016,22,NOG,190.033,5,0,79.9,2.3
06/01/2016,23,NOG,184.984,5,0,81.6,2.5
06/01/2016,24,NOG,176.698,5.1,0,83.4,2.7
07/01/2016,1,NOG,168.832,5.2,0,87.1,3
07/01/2016,2,NOG,161.175,5.3,0,90.9,3.3
07/01/2016,3,NOG,155.127,5.4,0,94.8,3.7
07/01/2016,4,NOG,152.649,5.3,0,92.7,3.5
07/01/2016,5,NOG,149.759,5.1,0,90.5,3.4
07/01/2016,6,NOG,153.109,5,0,88.4,3.3
07/01/2016,7,NOG,160.517,5.1,0.09,87.5,3.5
