Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,NVJ,,13.1,0,73,0.9
01/01/2016,2,NVJ,71.862,12.7,0,75,0.8
01/01/2016,3,NVJ,70.647,12.3,0,77.2,0.7
01/01/2016,4,NVJ,69.059,11.8,0,79.7,0.8
01/01/2016,5,NVJ,67.014,11.4,0,82.3,0.9
01/01/2016,6,NVJ,65.426,10.9,0,85,1
01/01/2016,7,NVJ,65.149,11.1,0,86.7,1
01/01/2016,8,NVJ,64.725,11.4,0,87.3,1
01/01/2016,9,NVJ,61.9,11.7,0,88.3,1
01/01/2016,10,NVJ,62.934,14.4,0,76.4,1
01/01/2016,11,NVJ,64.293,17,0,66.5,0.9
01/01/2016,12,NVJ,65.754,19.6,0,58.1,0.9
01/01/2016,13,NVJ,65.391,20.9,0,53.7,1.2
01/01/2016,14,NVJ,65.974,22.1,0,49.8,1.6
01/01/2016,15,NVJ,66.184,23.3,0,46.3,1.9
01/01/2016,16,NVJ,66.592,22,0,48.8,1.8
01/01/2016,17,NVJ,65.938,20.7,0,51.6,1.7
01/01/2016,18,NVJ,66.721,19.5,0,54.6,1.7
01/01/2016,19,NVJ,69.764,18,0,59.1,1.5
01/01/2016,20,NVJ,75.022,16.6,0,63.7,1.3
01/01/2016,21,NVJ,75.874,15.3,0,68.3,1.1
01/01/2016,22,NVJ,75.768,15.3,0,66.1,0.9
01/01/2016,23,NVJ,73.426,15.3,0,63.9,0.7
01/01/2016,24,NVJ,70.41,15.3,0,61.8,0.5
02/01/2016,1,NVJ,67.08,14.3,0,67.8,0.7
02/01/2016,2,NVJ,65.623,13.3,0,74.4,0.8
02/01/2016,3,NVJ,64.651,12.3,0,81.7,0.9
02/01/2016,4,NVJ,63.577,11.6,0,85.7,1.1
02/01/2016,5,NVJ,63.306,10.9,0,89.8,1.3
02/01/2016,6,NVJ,63.21,10.3,0,94.1,1.5
02/01/2016,7,NVJ,65.174,10.7,0,94.1,1.7
02/01/2016,8,NVJ,66.927,11.4,0,92.7,1.8
02/01/2016,9,NVJ,66.849,12,0,91.6,1.9
02/01/2016,10,NVJ,72.103,15.6,0,74.7,1.7
02/01/2016,11,NVJ,75.943,19.1,0,61.4,1.4
02/01/2016,12,NVJ,80.109,22.6,0,50.8,1.2
02/01/2016,13,NVJ,84.331,23.8,0,48,1.4
02/01/2016,14,NVJ,84.489,24.9,0,45.6,1.6
02/01/2016,15,NVJ,86.202,26,0,43.4,1.9
02/01/2016,16,NVJ,86.946,24.7,0,46.3,1.9
02/01/2016,17,NVJ,86.219,23.4,0,49.5,2
02/01/2016,18,NVJ,85.213,22.1,0,53,2
02/01/2016,19,NVJ,86.68,19.8,0,59.1,1.9
02/01/2016,20,NVJ,93.245,17.6,0,65.6,1.9
02/01/2016,21,NVJ,91.72,15.5,0,72.4,1.8
02/01/2016,22,NVJ,89.338,15.1,0,72.4,1.5
02/01/2016,23,NVJ,87.258,14.7,0,72.4,1.2
02/01/2016,24,NVJ,83.153,14.3,0,72.3,0.8
03/01/2016,1,NVJ,79.741,13.3,0,77.1,1
03/01/2016,2,NVJ,77.398,12.3,0,82.3,1.2
03/01/2016,3,NVJ,74.95,11.4,0,87.9,1.4
03/01/2016,4,NVJ,72.342,11,0,89.9,1.3
03/01/2016,5,NVJ,72.419,10.7,0,91.9,1.2
03/01/2016,6,NVJ,72.41,10.4,0,94,1.1
03/01/2016,7,NVJ,73.071,10.7,0,94,1.2
03/01/2016,8,NVJ,73.703,11.3,0,92.7,1.4
03/01/2016,9,NVJ,72.705,11.8,0,91.6,1.5
03/01/2016,10,NVJ,76.179,15.5,0,75.7,1.3
03/01/2016,11,NVJ,77.8,19.1,0,63,1.1
03/01/2016,12,NVJ,78.174,22.8,0,52.9,1
03/01/2016,13,NVJ,82.122,24.2,0,48.2,0.9
03/01/2016,14,NVJ,83.099,25.7,0,44.1,0.9
03/01/2016,15,NVJ,82.892,27,0,40.5,0.9
03/01/2016,16,NVJ,83.835,25.7,0,46.4,1
03/01/2016,17,NVJ,83.361,24.4,0,53.2,1.2
03/01/2016,18,NVJ,83.229,23.1,0,61,1.3
03/01/2016,19,NVJ,84.076,20.5,0,68.2,1.4
03/01/2016,20,NVJ,90.78,18.1,0,76,1.5
03/01/2016,21,NVJ,90.506,15.8,0,84.2,1.5
03/01/2016,22,NVJ,88.806,15.3,0,86.5,1.2
03/01/2016,23,NVJ,86.219,14.9,0,88.9,0.9
03/01/2016,24,NVJ,81.506,14.5,0,91.3,0.6
04/01/2016,1,NVJ,77.39,13.7,0,93,0.9
04/01/2016,2,NVJ,74.085,13,0,94.8,1.1
04/01/2016,3,NVJ,72.504,12.2,0,96.6,1.3
04/01/2016,4,NVJ,70.863,11.9,0,97.3,1.2
04/01/2016,5,NVJ,71.141,11.5,0,98,1.1
04/01/2016,6,NVJ,70.471,11.2,0,98.7,1
04/01/2016,7,NVJ,71.753,11.8,0,97,1.5
04/01/2016,8,NVJ,74.826,12.6,0,94,1.9
04/01/2016,9,NVJ,76.819,13.3,0,91.5,2.4
04/01/2016,10,NVJ,81.843,16.1,0,78.6,2.3
04/01/2016,11,NVJ,85.244,18.8,0,67.8,2.2
04/01/2016,12,NVJ,89.018,21.5,0,58.8,2.1
04/01/2016,13,NVJ,92.268,22.5,0,56.3,2.2
04/01/2016,14,NVJ,92.712,23.4,0,54.1,2.3
04/01/2016,15,NVJ,93.947,24.3,0,52.1,2.4
04/01/2016,16,NVJ,93.402,23.2,0.15,56.2,2.5
04/01/2016,17,NVJ,93.433,22.1,0.15,60.8,2.6
04/01/2016,18,NVJ,93.121,21,0.15,65.8,2.7
04/01/2016,19,NVJ,93.996,19.2,0,73.3,2.3
04/01/2016,20,NVJ,101.2,17.5,0,81.4,2
04/01/2016,21,NVJ,98.321,15.8,0,90.1,1.7
04/01/2016,22,NVJ,95.603,15.7,0,91.3,1.7
04/01/2016,23,NVJ,92.056,15.5,0,92.6,1.8
04/01/2016,24,NVJ,86.743,15.4,0,93.9,1.8
05/01/2016,1,NVJ,82.647,15.1,0,93.6,1.7
05/01/2016,2,NVJ,79.737,14.8,0,93.4,1.6
05/01/2016,3,NVJ,77.859,14.5,0,93.2,1.6
05/01/2016,4,NVJ,76.513,14.5,0.09,93,1.5
05/01/2016,5,NVJ,75.846,14.6,0.09,92.9,1.5
05/01/2016,6,NVJ,76.024,14.6,0.09,92.7,1.5
05/01/2016,7,NVJ,77.379,14.9,0.25,92.9,1.9
05/01/2016,8,NVJ,80.556,15.3,0.25,92.2,2.3
05/01/2016,9,NVJ,81.535,15.7,0.25,91.5,2.7
05/01/2016,10,NVJ,86.726,17.2,0.27,85.8,3
05/01/2016,11,NVJ,90.215,18.7,0.27,80.7,3.2
05/01/2016,12,NVJ,91.655,20.1,0.27,76.1,3.4
05/01/2016,13,NVJ,92.788,20.9,0.2,71.1,3.4
05/01/2016,14,NVJ,92.879,21.6,0.2,66.6,3.4
05/01/2016,15,NVJ,93.498,22.3,0.2,62.5,3.4
05/01/2016,16,NVJ,94.001,21.8,0,63.7,3.1
05/01/2016,17,NVJ,93.373,21.2,0,65.1,2.8
05/01/2016,18,NVJ,91.97,20.6,0,66.5,2.4
05/01/2016,19,NVJ,93.884,19,0,73.7,2.1
05/01/2016,20,NVJ,99.969,17.4,0,81.4,1.8
05/01/2016,21,NVJ,99.743,15.9,0,89.3,1.5
05/01/2016,22,NVJ,97.72,15.5,0,90.9,1.2
05/01/2016,23,NVJ,93.298,15.1,0,92.5,1
05/01/2016,24,NVJ,89.398,14.7,0,94.1,0.7
06/01/2016,1,NVJ,83.843,13.9,0,96.2,0.8
06/01/2016,2,NVJ,80.798,13.1,0,98.3,0.9
06/01/2016,3,NVJ,79.26,12.3,0,100,0.9
06/01/2016,4,NVJ,77.605,12.3,0,100,1.2
06/01/2016,5,NVJ,77.067,12.3,0,100,1.4
06/01/2016,6,NVJ,77.022,12.3,0,100,1.7
06/01/2016,7,NVJ,79.8,12.6,0,99.5,1.8
06/01/2016,8,NVJ,83.919,13.1,0,98,1.9
06/01/2016,9,NVJ,84.388,13.5,0,96.8,2
06/01/2016,10,NVJ,87.558,15.8,0,81,1.6
06/01/2016,11,NVJ,90.171,18.2,0,68,1.3
06/01/2016,12,NVJ,91.408,20.5,0,57.2,0.9
06/01/2016,13,NVJ,91.974,21.3,0,52.2,1.2
06/01/2016,14,NVJ,92.439,22.1,0,47.8,1.5
06/01/2016,15,NVJ,94.695,22.9,0,43.9,1.8
06/01/2016,16,NVJ,95.025,22.4,0,45.7,1.8
06/01/2016,17,NVJ,95.262,21.9,0,47.7,1.8
06/01/2016,18,NVJ,94.728,21.4,0,49.8,1.8
06/01/2016,19,NVJ,95.019,19.5,0,56.1,2.1
06/01/2016,20,NVJ,102.748,17.8,0,63,2.3
06/01/2016,21,NVJ,101.563,16.1,0,70.3,2.6
06/01/2016,22,NVJ,98.919,15,0,74.8,2.4
06/01/2016,23,NVJ,95.276,13.8,0,79.6,2.1
06/01/2016,24,NVJ,89.785,12.6,0,84.8,1.8
07/01/2016,1,NVJ,85.022,11.9,0,86.4,1.8
07/01/2016,2,NVJ,81.101,11.3,0,88,1.8
07/01/2016,3,NVJ,80.311,10.6,0,89.7,1.8
07/01/2016,4,NVJ,78.595,10,0,91.3,1.8
07/01/2016,5,NVJ,77.5,9.4,0,92.9,1.8
07/01/2016,6,NVJ,78.846,8.8,0,94.6,1.8
07/01/2016,7,NVJ,81.063,9.2,0,93.4,1.7
07/01/2016,8,NVJ,84.821,9.8,0,90.9,1.6
07/01/2016,9,NVJ,85.36,10.3,0,88.7,1.5
07/01/2016,10,NVJ,87.87,13.6,0,68,1.6
07/01/2016,11,NVJ,91.413,16.8,0,52.5,1.8
07/01/2016,12,NVJ,91.548,20,0,40.8,2
07/01/2016,13,NVJ,93.156,21,0,34.6,2.2
07/01/2016,14,NVJ,93.024,22,0,29.3,2.5
07/01/2016,15,NVJ,94.342,22.9,0,24.9,2.7
07/01/2016,16,NVJ,94.277,22.1,0,30.7,2.7
07/01/2016,17,NVJ,93.854,21.2,0,37.7,2.7
07/01/2016,18,NVJ,93.402,20.3,0,46.2,2.8
07/01/2016,19,NVJ,95.607,18.1,0,53.8,2.6
07/01/2016,20,NVJ,103.492,15.9,0,62.5,2.5
07/01/2016,21,NVJ,102.649,13.9,0,72.1,2.3
07/01/2016,22,NVJ,100.262,13,0,75.2,2.2
07/01/2016,23,NVJ,95.779,12.1,0,78.5,2.2
07/01/2016,24,NVJ,90.833,11.1,0,81.9,2.1
08/01/2016,1,NVJ,86.914,10.8,0,83,1.7
08/01/2016,2,NVJ,82.912,10.4,0,84.2,1.2
08/01/2016,3,NVJ,79.871,10,0,85.4,0.7
08/01/2016,4,NVJ,78.418,10.2,0,83.6,1
08/01/2016,5,NVJ,78.643,10.4,0,81.9,1.3
08/01/2016,6,NVJ,77.59,10.5,0,80.2,1.7
08/01/2016,7,NVJ,78.23,10.7,0.09,81.4,1.6
08/01/2016,8,NVJ,81.366,10.9,0.09,81.7,1.5
08/01/2016,9,NVJ,84.198,11.2,0.09,82,1.4
08/01/2016,10,NVJ,87.332,13.3,0,74.4,1.5
08/01/2016,11,NVJ,90.566,15.4,0,67.8,1.5
08/01/2016,12,NVJ,92.256,17.4,0,61.9,1.5
08/01/2016,13,NVJ,93.594,18.1,0,55.2,1.7
08/01/2016,14,NVJ,92.939,18.8,0,49.2,1.8
08/01/2016,15,NVJ,93.662,19.5,0,44,2
08/01/2016,16,NVJ,94.134,19.2,0,44,1.8
08/01/2016,17,NVJ,93.968,19,0,44,1.6
08/01/2016,18,NVJ,92.329,18.8,0,44.1,1.4
08/01/2016,19,NVJ,93.637,17,0,46.4,1.8
08/01/2016,20,NVJ,100.417,15.3,0,48.7,2.3
08/01/2016,21,NVJ,98.5,13.8,0,50.8,2.7
08/01/2016,22,NVJ,95.912,12.7,0,55.9,2.4
08/01/2016,23,NVJ,92.95,11.6,0,61.6,2.1
08/01/2016,24,NVJ,88.872,10.5,0,67.9,1.8
09/01/2016,1,NVJ,83.961,10,0,71,1.8
09/01/2016,2,NVJ,81.025,9.5,0,74.3,1.8
09/01/2016,3,NVJ,79.852,9,0,77.7,1.8
09/01/2016,4,NVJ,78.134,8.7,0,79,1.9
09/01/2016,5,NVJ,77.289,8.5,0,80.3,2
09/01/2016,6,NVJ,77.27,8.2,0,81.7,2.1
09/01/2016,7,NVJ,78.531,8.4,0,78.6,2.2
09/01/2016,8,NVJ,80.919,8.8,0,74.6,2.2
09/01/2016,9,NVJ,80.442,9.2,0,71,2.3
09/01/2016,10,NVJ,84.389,12.5,0,55.7,2.2
09/01/2016,11,NVJ,86.592,15.7,0,44,2.1
09/01/2016,12,NVJ,90.217,18.9,0,35,2
09/01/2016,13,NVJ,90.54,20,0,29.3,2.6
09/01/2016,14,NVJ,90.772,20.9,0,24.5,3.1
09/01/2016,15,NVJ,89.874,21.8,0,20.6,3.7
09/01/2016,16,NVJ,88.923,20.9,0,23.7,3.2
09/01/2016,17,NVJ,88.033,19.9,0,27.3,2.8
09/01/2016,18,NVJ,86.909,18.9,0,31.4,2.3
09/01/2016,19,NVJ,88.562,16.9,0,35.5,2.4
09/01/2016,20,NVJ,96.562,14.9,0,40.1,2.5
09/01/2016,21,NVJ,95.046,13.1,0,44.9,2.6
09/01/2016,22,NVJ,93.436,12.1,0,48.2,2.3
09/01/2016,23,NVJ,91.147,11,0,51.7,2
09/01/2016,24,NVJ,86.17,10,0,55.5,1.7
10/01/2016,1,NVJ,82.903,9.4,0,58.3,1.8
10/01/2016,2,NVJ,80.5,8.7,0,61.3,1.9
10/01/2016,3,NVJ,79.54,8.1,0,64.4,2
10/01/2016,4,NVJ,78.056,7.6,0,66.5,1.9
10/01/2016,5,NVJ,77.507,7.1,0,68.7,1.8
10/01/2016,6,NVJ,76.734,6.6,0,71,1.7
10/01/2016,7,NVJ,77.765,6.9,0,70.7,1.8
10/01/2016,8,NVJ,77.877,7.4,0,69.5,1.9
10/01/2016,9,NVJ,76.845,7.8,0,68.6,2
10/01/2016,10,NVJ,79.803,11.4,0,54.1,1.9
10/01/2016,11,NVJ,83.294,15,0,43,1.7
10/01/2016,12,NVJ,83.824,18.6,0,34.4,1.6
10/01/2016,13,NVJ,83.782,20.3,0,28.1,2
10/01/2016,14,NVJ,83.808,22,0,23.1,2.4
10/01/2016,15,NVJ,84.403,23.6,0,19,2.8
10/01/2016,16,NVJ,83.786,22.6,0,22.3,2.5
10/01/2016,17,NVJ,83.662,21.6,0,26.1,2.2
10/01/2016,18,NVJ,84.318,20.6,0,30.6,2
10/01/2016,19,NVJ,85.647,18.6,0,35.7,2.3
10/01/2016,20,NVJ,92.687,16.5,0,41.6,2.6
10/01/2016,21,NVJ,91.731,14.7,0,48.1,2.9
10/01/2016,22,NVJ,90.647,13.6,0,52.7,2.6
