Date,Hora,Zone,Demand,Temperature,PrecipIntensity,Humidity,WindSpeed
01/01/2016,1,OBR,,13.4,0,66,1
01/01/2016,2,OBR,90.014,13,0,68.7,0.7
01/01/2016,3,OBR,87.246,12.5,0,71.5,0.4
01/01/2016,4,OBR,84.13,11.8,0,74.7,0.6
01/01/2016,5,OBR,81.361,11.1,0,78,0.8
01/01/2016,6,OBR,79.023,10.4,0,81.4,1.1
01/01/2016,7,OBR,78.192,10.7,0,80.2,1.1
01/01/2016,8,OBR,77.692,11.2,0,77.6,1.1
01/01/2016,9,OBR,74.575,11.6,0,75.4,1.1
01/01/2016,10,OBR,75.546,15,0,59.1,1.1
01/01/2016,11,OBR,78.592,18.3,0,46.6,1
01/01/2016,12,OBR,81.18,21.6,0,37.1,1
01/01/2016,13,OBR,82.66,22.6,0,34.4,1.3
01/01/2016,14,OBR,83.301,23.6,0,32,1.5
01/01/2016,15,OBR,83.335,24.6,0,29.9,1.8
01/01/2016,16,OBR,82.23,23.5,0,32.3,1.9
01/01/2016,17,OBR,82.046,22.4,0,35,2
01/01/2016,18,OBR,82.764,21.4,0,38,2
01/01/2016,19,OBR,87.074,19.6,0,41.4,1.9
01/01/2016,20,OBR,96.465,18,0,44.8,1.8
01/01/2016,21,OBR,98.729,16.5,0,48.1,1.7
01/01/2016,22,OBR,98.322,16.1,0,51.3,1.3
01/01/2016,23,OBR,95.362,15.6,0,54.7,0.9
01/01/2016,24,OBR,91.268,15.2,0,58.4,0.4
02/01/2016,1,OBR,86.419,14.5,0,61.8,0.5
02/01/2016,2,OBR,82.119,13.9,0,65.3,0.5
02/01/2016,3,OBR,78.701,13.3,0,69.1,0.5
02/01/2016,4,OBR,76.796,12.5,0,73.8,0.8
02/01/2016,5,OBR,75.967,11.6,0,79,1.1
02/01/2016,6,OBR,76.318,10.8,0,84.5,1.3
02/01/2016,7,OBR,79.213,11.3,0,83.2,1.2
02/01/2016,8,OBR,82.863,12.1,0,80.5,1
02/01/2016,9,OBR,86.167,12.9,0,77.9,0.8
02/01/2016,10,OBR,94.408,16.6,0,61.2,0.9
02/01/2016,11,OBR,103.497,20.2,0,48.5,1
02/01/2016,12,OBR,108.745,23.8,0,38.7,1
02/01/2016,13,OBR,112.308,25,0,36.4,1.2
02/01/2016,14,OBR,114.382,26.2,0,34.3,1.4
02/01/2016,15,OBR,114.88,27.3,0,32.5,1.7
02/01/2016,16,OBR,114.366,26.1,0,33.7,1.8
02/01/2016,17,OBR,113.566,24.9,0,35,2
02/01/2016,18,OBR,112.273,23.6,0,36.4,2.2
02/01/2016,19,OBR,113.847,21,0,43.3,2.2
02/01/2016,20,OBR,121.95,18.5,0,51.3,2.1
02/01/2016,21,OBR,120.818,16.2,0,60.2,2.1
02/01/2016,22,OBR,118.207,15.5,0,65.2,1.9
02/01/2016,23,OBR,113.051,14.7,0,70.6,1.6
02/01/2016,24,OBR,106.276,14,0,76.5,1.4
03/01/2016,1,OBR,99.524,13.7,0,78.1,1.1
03/01/2016,2,OBR,93.382,13.3,0,79.6,0.8
03/01/2016,3,OBR,89.233,13,0,81.2,0.5
03/01/2016,4,OBR,86.027,13,0,81.1,0.4
03/01/2016,5,OBR,84.381,13.1,0,81.1,0.3
03/01/2016,6,OBR,84.261,13.1,0,81,0.2
03/01/2016,7,OBR,85.468,12.9,0,81.8,0.4
03/01/2016,8,OBR,87.109,13.1,0,81.2,0.6
03/01/2016,9,OBR,86.762,13.2,0,80.6,0.9
03/01/2016,10,OBR,91.834,16.9,0,62.6,0.8
03/01/2016,11,OBR,99.486,20.6,0,49.1,0.7
03/01/2016,12,OBR,103.137,24.3,0,38.8,0.7
03/01/2016,13,OBR,104.888,25.8,0,35.5,0.9
03/01/2016,14,OBR,106.315,27.2,0,32.7,1.2
03/01/2016,15,OBR,108.294,28.5,0,30.3,1.4
03/01/2016,16,OBR,107.704,27.3,0,33.6,1.4
03/01/2016,17,OBR,106.328,26,0,37.3,1.5
03/01/2016,18,OBR,105.015,24.7,0,41.5,1.5
03/01/2016,19,OBR,106.409,22,0,49.9,1.7
03/01/2016,20,OBR,116.685,19.5,0,59.7,1.9
03/01/2016,21,OBR,117.694,17.2,0,70.7,2.1
03/01/2016,22,OBR,116.442,16.6,0,73.8,1.8
03/01/2016,23,OBR,112.314,16.1,0,77,1.4
03/01/2016,24,OBR,106.181,15.5,0,80.4,1
04/01/2016,1,OBR,99.267,14.3,0,84.6,1.2
04/01/2016,2,OBR,93.204,13.1,0,89.1,1.4
04/01/2016,3,OBR,90.743,11.9,0,93.9,1.7
04/01/2016,4,OBR,88.587,11.9,0,93.9,1.5
04/01/2016,5,OBR,87.619,11.8,0,93.9,1.3
04/01/2016,6,OBR,87.917,11.8,0,94,1.2
04/01/2016,7,OBR,92.054,12.3,0,93,1.3
04/01/2016,8,OBR,97.121,13,0,90.5,1.4
04/01/2016,9,OBR,103.156,13.7,0,88.4,1.5
04/01/2016,10,OBR,112.512,16.6,0,74.6,1.5
04/01/2016,11,OBR,119.94,19.5,0,63.3,1.6
04/01/2016,12,OBR,125.264,22.4,0,54,1.7
04/01/2016,13,OBR,128.609,23.1,0,51.6,2.1
04/01/2016,14,OBR,129.653,23.8,0,49.5,2.6
04/01/2016,15,OBR,131.214,24.4,0,47.6,3
04/01/2016,16,OBR,131.397,23.4,0.17,52.4,3
04/01/2016,17,OBR,130.272,22.4,0.17,57.8,3
04/01/2016,18,OBR,127.582,21.4,0.17,64,3
04/01/2016,19,OBR,128.449,19.7,0,71.5,2.5
04/01/2016,20,OBR,136.121,18.2,0,79.5,2
04/01/2016,21,OBR,135.998,16.8,0,87.5,1.6
04/01/2016,22,OBR,132.487,16.6,0,87.8,1.7
04/01/2016,23,OBR,126.474,16.4,0,88.1,1.8
04/01/2016,24,OBR,120.3,16.1,0,88.4,2
05/01/2016,1,OBR,112.264,15.7,0,90.2,1.9
05/01/2016,2,OBR,105.792,15.3,0,92.1,1.8
05/01/2016,3,OBR,102.115,14.9,0,94,1.7
05/01/2016,4,OBR,97.966,15.1,0.13,93.1,1.9
05/01/2016,5,OBR,95.969,15.2,0.13,92.2,2.1
05/01/2016,6,OBR,96.462,15.3,0.13,91.4,2.3
05/01/2016,7,OBR,99.985,15.3,0.22,92.7,2.5
05/01/2016,8,OBR,104.816,15.4,0.22,92.8,2.7
05/01/2016,9,OBR,110.479,15.6,0.22,92.8,3
05/01/2016,10,OBR,118.37,17.7,0.07,82.3,2.9
05/01/2016,11,OBR,123.99,19.7,0.07,73.3,2.9
05/01/2016,12,OBR,127.722,21.6,0.07,65.6,2.8
05/01/2016,13,OBR,131.034,22.6,0.05,57,3.2
05/01/2016,14,OBR,133.376,23.4,0.05,49.7,3.5
05/01/2016,15,OBR,134.697,24.2,0.05,43.4,3.9
05/01/2016,16,OBR,133.426,23.2,0,46.6,3.6
05/01/2016,17,OBR,131.548,22.2,0,50.2,3.3
05/01/2016,18,OBR,129.735,21.1,0,54.1,3
05/01/2016,19,OBR,131.014,19.2,0,63.8,2.6
05/01/2016,20,OBR,138.622,17.4,0,75,2.1
05/01/2016,21,OBR,138.401,15.8,0,87.1,1.7
05/01/2016,22,OBR,135.837,15.3,0,88.8,1.6
05/01/2016,23,OBR,129.219,14.9,0,90.5,1.4
05/01/2016,24,OBR,122.517,14.5,0,92.3,1.3
06/01/2016,1,OBR,113.756,13.9,0,94.2,1.1
06/01/2016,2,OBR,106.591,13.4,0,96.1,0.8
06/01/2016,3,OBR,102.154,12.9,0,98.1,0.6
06/01/2016,4,OBR,98.597,12.4,0,99.1,0.8
06/01/2016,5,OBR,97.692,12,0,100,1.1
06/01/2016,6,OBR,98.204,11.6,0,100,1.3
06/01/2016,7,OBR,103.463,11.9,0,99.9,1.5
06/01/2016,8,OBR,110.704,12.3,0,97.6,1.7
06/01/2016,9,OBR,114.543,12.6,0,96.1,1.9
06/01/2016,10,OBR,119.32,15.3,0,78.7,1.5
06/01/2016,11,OBR,124.146,18.1,0,64.5,1.2
06/01/2016,12,OBR,127.207,20.9,0,53,0.9
06/01/2016,13,OBR,129.942,21.7,0,48.3,1.3
06/01/2016,14,OBR,130.824,22.4,0,44,1.7
06/01/2016,15,OBR,130.897,23.1,0,40.3,2.1
06/01/2016,16,OBR,131.608,22.7,0,40.2,2.2
06/01/2016,17,OBR,131.236,22.3,0,40.2,2.2
06/01/2016,18,OBR,129.546,21.9,0,40.4,2.3
06/01/2016,19,OBR,130.113,19.7,0,48.9,2.4
06/01/2016,20,OBR,137.952,17.7,0,58.9,2.4
06/01/2016,21,OBR,137.594,15.9,0,70.1,2.5
06/01/2016,22,OBR,133.259,14.7,0,74.5,2.3
06/01/2016,23,OBR,128.027,13.6,0,79.2,2
06/01/2016,24,OBR,121.602,12.5,0,84.3,1.8
07/01/2016,1,OBR,113.209,11.7,0,86.2,1.8
07/01/2016,2,OBR,107.012,11,0,88.1,1.9
07/01/2016,3,OBR,102.659,10.2,0,90.1,1.9
07/01/2016,4,OBR,99.811,9.8,0,91,1.9
07/01/2016,5,OBR,99.053,9.5,0,91.9,1.9
07/01/2016,6,OBR,99.923,9.1,0,92.9,1.9
07/01/2016,7,OBR,103.809,9.4,0,92.5,1.5
07/01/2016,8,OBR,112.304,10,0,90.5,1.2
07/01/2016,9,OBR,116.317,10.5,0,88.6,0.8
07/01/2016,10,OBR,120.5,14,0,63.6,1.2
07/01/2016,11,OBR,124.876,17.4,0,46,1.7
07/01/2016,12,OBR,128.341,20.8,0,33.5,2.1
07/01/2016,13,OBR,131.538,21.8,0,28.9,2.3
07/01/2016,14,OBR,131.941,22.8,0,25,2.6
07/01/2016,15,OBR,131.317,23.7,0,21.7,2.8
07/01/2016,16,OBR,131.824,22.8,0,26.7,3
07/01/2016,17,OBR,130.761,21.9,0,32.8,3.2
07/01/2016,18,OBR,130.49,21,0,40.2,3.4
07/01/2016,19,OBR,132.143,18.6,0,47.8,2.9
07/01/2016,20,OBR,139.53,16.2,0,56.7,2.5
07/01/2016,21,OBR,138.595,14,0,66.6,2
