FECHA,TMAX-CAB,TMAX-HMO,TMAX-OBR,TMAX-LMO,TMAX-CUL,TMIN-CAB,TMIN-HMO,TMIN-OBR,TMIN-LMO,TMIN-CUL,PREC_HMO   (mm),PREC_OBR   (mm),PREC_LMO   (mm),PREC_CUL   (mm)
18/02/2019,17.00,20.00,22.00,24.00,29.00,0.00,7.00,9.00,7.00,9.00,0.00,0.00,0.00,0.00
19/02/2019,16.00,18.00,20.00,20.00,25.00,2.00,4.00,8.00,10.00,7.00,0.00,0.00,0.00,0.00
20/02/2019,18.00,20.00,22.00,21.00,25.00,10.00,3.00,4.00,9.00,10.00,0.00,0.00,0.00,0.00
21/02/2019,17.00,19.00,21.00,22.00,25.00,8.00,10.00,10.00,10.00,10.00,7.00,0.00,0.00,0.00
22/02/2019,15.00,13.00,19.00,23.00,26.00,3.00,2.00,5.00,10.00,9.00,8.00,5.00,0.00,0.00
23/02/2019,19.00,22.00,26.00,26.00,30.00,0.00,4.00,5.00,9.00,7.00,0.00,0.00,0.00,0.00
24/02/2019,21.00,23.00,27.00,27.00,31.00,3.00,4.00,5.00,9.00,8.00,0.00,0.00,0.00,0.00
25/02/2019,20.00,23.00,27.00,26.00,31.00,3.00,4.00,5.00,10.00,8.00,0.00,0.00,0.00,0.00
26/02/2019,24.00,26.00,29.00,30.00,33.00,5.00,6.00,6.00,9.00,10.00,0.00,0.00,0.00,0.00
27/02/2019,24.00,25.00,30.00,30.00,32.00,10.00,11.00,10.00,11.00,11.00,0.00,0.00,0.00,0.00
28/02/2019,28.00,31.00,32.00,30.00,34.00,12.00,11.00,12.00,12.00,12.00,0.00,0.00,0.00,0.00
01/03/2019,29.00,32.00,33.00,30.00,32.00,14.00,12.00,12.00,12.00,12.00,0.00,0.00,0.00,0.00
02/03/2019,27.00,31.00,31.00,31.00,33.00,13.00,12.00,13.00,14.00,13.00,0.00,0.00,0.00,0.00
03/03/2019,27.00,29.00,33.00,33.00,35.00,10.00,11.00,12.00,13.00,12.00,0.00,0.00,0.00,0.00
04/03/2019,27.00,30.00,32.00,31.00,33.00,11.00,13.00,12.00,11.00,12.00,0.00,0.00,0.00,0.00
05/03/2019,29.00,31.00,31.00,30.00,33.00,14.00,14.00,13.00,12.00,12.00,0.00,0.00,0.00,0.00
06/03/2019,31.00,33.00,32.00,30.00,33.00,16.00,15.00,14.00,13.00,12.00,0.00,0.00,0.00,0.00
07/03/2019,27.00,30.00,33.00,32.00,35.00,15.00,14.00,14.00,13.00,13.00,0.00,0.00,0.00,0.00
08/03/2019,22.00,24.00,27.00,30.00,34.00,8.00,8.00,11.00,14.00,13.00,0.00,0.00,0.00,0.00
09/03/2019,23.00,25.00,28.00,28.00,33.00,10.00,11.00,13.00,14.00,13.00,0.00,0.00,0.00,0.00
10/03/2019,21.00,21.00,25.00,28.00,33.00,8.00,10.00,13.00,15.00,15.00,0.00,0.00,0.00,0.00
11/03/2019,21.00,27.00,23.00,27.00,33.00,11.00,12.00,13.00,16.00,15.00,11.00,3.00,0.00,0.00
12/03/2019,17.00,18.00,20.00,20.00,27.00,12.00,9.00,11.00,10.00,10.00,11.00,10.00,6.00,0.00
13/03/2019,20.00,20.00,23.00,25.00,28.00,8.00,8.00,9.00,11.00,9.00,0.00,0.00,0.00,0.00
