FECHA,TMAX-CAB,TMAX-HMO,TMAX-OBR,TMAX-LMO,TMAX-CUL,TMIN-CAB,TMIN-HMO,TMIN-OBR,TMIN-LMO,TMIN-CUL,PREC_HMO   (mm),PREC_OBR   (mm),PREC_LMO   (mm),PREC_CUL   (mm)
01/01/2007,21.00,21.50,25.00,30.00,29.00,2.00,9.00,7.50,10.00,8.50,0.00,0.00,0.00,0.00
02/01/2007,20.50,22.00,22.00,22.00,26.50,1.80,7.00,7.00,10.50,13.50,0.00,0.50,0.00,0.00
03/01/2007,21.50,22.00,23.00,25.00,26.50,5.80,6.00,10.00,10.50,14.50,0.00,0.00,0.00,0.00
04/01/2007,22.00,24.00,26.00,26.00,28.00,5.20,10.50,9.00,10.50,10.00,0.00,0.00,0.00,0.00
05/01/2007,24.00,21.00,25.00,28.00,29.00,6.20,9.50,9.00,10.00,10.00,0.00,0.00,0.00,0.00
06/01/2007,17.50,21.50,22.00,22.00,29.50,4.20,6.00,8.00,11.00,11.00,0.00,0.00,0.00,0.00
07/01/2007,22.00,27.00,29.00,29.00,30.00,4.40,6.50,9.00,10.00,12.00,0.00,0.00,0.00,0.00
08/01/2007,23.00,27.00,29.00,29.00,31.50,4.40,12.00,11.00,10.50,11.00,0.00,0.00,0.00,0.00
09/01/2007,23.50,31.00,30.00,30.00,31.50,5.40,13.50,11.00,11.00,13.50,0.00,0.00,0.00,0.00
10/01/2007,27.50,22.00,23.50,29.00,32.50,8.40,14.00,11.00,13.00,15.50,0.01,0.00,0.00,0.00
11/01/2007,20.50,24.00,27.00,25.00,29.00,10.80,12.50,13.00,15.50,15.00,0.01,0.01,0.40,0.00
12/01/2007,22.00,21.50,25.00,30.00,31.50,11.00,12.50,15.00,16.50,18.00,0.00,0.00,0.00,0.00
13/01/2007,16.00,18.00,23.00,23.50,22.50,9.20,11.00,12.00,16.00,17.50,0.00,0.00,1.00,0.50
14/01/2007,14.00,16.00,19.00,19.00,20.00,-5.00,4.00,10.50,15.00,17.00,0.00,0.00,0.00,1.00
15/01/2007,13.00,17.00,19.50,18.50,18.50,-5.40,1.50,7.00,10.50,11.50,0.00,0.00,0.00,0.30
16/01/2007,12.50,19.00,17.00,20.00,22.00,-5.80,2.00,9.00,10.00,11.50,0.00,0.00,0.00,2.80
17/01/2007,15.00,16.00,17.00,19.00,26.00,-6.80,2.00,6.00,13.00,13.50,0.00,3.00,0.00,0.00
18/01/2007,16.00,16.50,15.00,20.00,30.00,1.80,4.00,9.00,12.50,15.00,2.00,15.00,3.10,0.00
19/01/2007,17.50,16.50,16.00,17.00,19.00,1.80,7.00,10.00,13.50,16.50,1.00,1.80,4.50,9.70
20/01/2007,15.50,17.00,20.00,22.00,22.00,2.80,6.00,8.00,11.00,14.50,0.00,0.00,0.00,0.00
21/01/2007,14.50,17.50,20.00,23.00,22.50,1.80,5.50,6.00,7.00,10.50,0.00,1.00,0.00,0.00
22/01/2007,16.00,18.00,18.00,19.00,22.50,1.80,5.50,6.00,9.00,9.50,0.00,0.00,0.00,0.00
23/01/2007,12.00,20.00,20.50,18.00,22.00,2.80,3.50,5.00,7.50,9.00,0.00,0.00,0.00,0.00
24/01/2007,18.00,21.00,24.00,23.00,23.50,2.80,4.00,5.00,7.00,5.50,0.00,0.00,0.00,0.00
25/01/2007,21.50,20.00,22.00,24.50,26.00,8.60,11.00,8.00,7.00,5.50,1.20,9.00,0.00,0.00
26/01/2007,22.00,21.00,24.00,26.00,26.50,4.80,9.00,7.00,8.00,9.00,0.00,0.00,0.00,0.00
27/01/2007,21.50,25.00,26.00,27.00,28.00,3.60,9.00,7.50,6.00,9.50,0.00,0.00,0.00,0.00
28/01/2007,22.00,24.50,27.00,28.00,29.00,3.40,9.50,8.00,10.00,10.00,0.00,0.00,0.00,0.00
29/01/2007,22.50,25.00,25.00,25.00,21.00,4.00,13.50,8.00,11.00,12.50,0.01,0.01,0.00,0.00
30/01/2007,24.00,20.00,25.00,28.00,28.50,10.20,13.00,11.00,13.00,14.00,0.90,0.00,0.00,0.00
31/01/2007,18.50,20.00,23.00,26.00,26.00,7.80,10.50,10.00,12.50,12.00,1.50,0.00,0.00,0.50
01/02/2007,16.50,18.50,26.00,24.00,25.00,2.80,6.00,8.00,13.00,12.00,0.00,0.00,0.00,9.50
02/02/2007,18.00,22.00,29.00,23.00,24.50,2.20,7.00,9.00,11.00,11.00,0.00,0.00,0.00,0.00
03/02/2007,19.00,30.00,27.00,24.00,27.50,2.80,8.00,9.00,10.00,9.50,0.00,0.00,0.00,0.00
04/02/2007,19.00,30.50,30.00,25.00,31.00,4.80,10.50,8.00,12.00,9.50,0.00,0.00,0.00,0.00
05/02/2007,22.00,31.50,31.00,31.50,33.00,7.20,13.50,9.00,9.50,12.50,0.00,0.00,0.00,0.00
06/02/2007,26.00,31.00,31.00,33.00,33.00,7.60,15.00,10.00,10.50,14.50,0.00,0.00,0.00,0.00
07/02/2007,28.00,32.00,30.00,31.50,33.50,4.00,15.00,11.00,13.00,15.50,0.00,0.00,0.00,0.00
08/02/2007,28.00,30.50,30.00,31.00,32.00,6.00,17.00,13.00,15.00,16.00,0.00,0.00,0.00,0.00
09/02/2007,29.00,30.00,28.00,30.00,33.00,6.00,16.50,13.50,15.50,16.00,0.00,0.00,0.00,0.00
10/02/2007,29.00,28.00,32.00,29.00,30.50,8.00,15.50,14.00,15.00,15.00,0.00,0.00,0.00,0.00
11/02/2007,23.00,25.00,27.00,29.00,29.00,10.00,15.00,14.00,13.50,13.50,0.00,0.00,0.00,0.00
12/02/2007,24.00,25.00,26.00,29.00,28.00,5.00,13.00,13.50,14.50,14.00,0.00,0.00,0.00,0.00
13/02/2007,17.00,20.00,22.00,28.00,28.00,6.00,11.00,13.00,14.50,14.00,0.00,0.00,0.00,0.00
14/02/2007,19.00,21.00,24.00,23.50,25.00,1.50,8.00,10.00,12.00,12.00,0.00,0.00,0.00,0.00
15/02/2007,21.00,24.00,28.00,26.00,27.00,3.60,8.50,10.00,12.00,9.50,0.00,0.00,0.00,0.00
16/02/2007,22.00,30.00,31.00,26.00,30.50,4.80,11.00,10.00,12.00,9.50,0.00,0.00,0.00,0.00
17/02/2007,26.50,30.50,28.00,29.00,28.00,7.60,14.50,10.00,12.00,11.50,0.00,0.00,0.00,0.00
18/02/2007,27.00,27.50,29.00,29.50,31.00,7.40,17.00,10.00,12.50,13.50,0.00,0.00,0.00,0.00
19/02/2007,27.50,23.00,24.00,27.50,28.00,14.00,14.00,13.00,13.00,16.00,0.00,0.00,0.00,0.00
20/02/2007,21.50,24.00,25.00,27.00,28.50,5.20,10.50,14.00,16.50,18.00,0.00,0.00,0.00,0.00
21/02/2007,22.00,28.50,29.50,29.00,29.50,4.00,11.50,11.00,12.50,13.00,0.00,0.00,0.00,0.00
22/02/2007,25.00,26.00,27.00,26.00,29.00,10.60,15.50,13.00,12.00,13.00,0.00,0.00,0.00,0.00
23/02/2007,27.50,22.00,27.00,30.00,29.50,5.60,10.50,11.00,15.00,15.00,0.00,0.00,0.00,0.00
24/02/2007,21.00,23.00,24.00,25.00,29.50,2.80,9.50,10.00,13.50,12.50,0.00,0.00,0.00,0.00
25/02/2007,21.50,27.00,27.00,27.00,29.50,2.60,7.00,7.50,12.50,10.50,0.00,0.00,0.00,0.00
26/02/2007,22.00,28.50,30.00,32.00,30.00,5.20,8.50,8.00,11.00,10.50,0.00,0.00,0.00,0.00
27/02/2007,25.50,29.00,29.00,32.00,28.00,6.20,12.00,10.00,11.00,12.00,0.00,0.00,0.00,0.00
28/02/2007,28.00,21.00,26.00,30.00,30.50,11.20,13.00,12.00,11.00,13.50,0.00,0.00,0.00,0.00
01/03/2007,19.00,23.50,24.00,23.00,29.00,2.80,7.00,10.00,12.50,12.50,0.00,0.00,0.00,0.00
02/03/2007,19.50,24.00,26.00,25.00,28.50,3.80,8.00,8.00,12.00,10.00,0.00,0.00,0.00,0.00
03/03/2007,21.00,26.00,31.00,26.00,30.00,7.20,9.00,11.00,12.50,9.50,0.00,0.00,0.00,0.00
04/03/2007,22.00,28.00,32.00,29.00,32.00,7.00,13.00,11.00,12.50,10.50,0.00,0.00,0.00,0.00
05/03/2007,27.50,30.50,32.00,33.00,31.50,9.60,14.00,12.00,13.00,12.00,0.00,0.00,0.00,0.00
06/03/2007,28.00,34.00,30.50,34.00,33.50,7.20,16.00,13.00,13.50,13.50,0.00,0.00,0.00,0.00
07/03/2007,28.50,33.00,32.00,32.00,32.00,10.20,17.00,13.00,12.00,14.50,0.00,0.00,0.00,0.00
08/03/2007,28.00,33.00,32.00,32.50,32.50,10.00,15.00,12.50,13.00,13.50,0.00,0.00,0.00,0.00
09/03/2007,29.00,34.00,32.00,34.00,31.50,10.60,16.00,12.00,13.00,13.00,0.00,0.00,0.00,0.00
10/03/2007,30.00,33.00,28.00,35.00,31.50,10.20,16.00,13.00,14.00,14.00,0.00,0.00,0.00,0.00
11/03/2007,31.00,34.00,28.00,34.00,33.50,10.00,16.00,12.50,14.00,14.50,0.00,0.00,0.00,0.00
12/03/2007,32.00,35.00,31.00,36.00,32.00,12.80,17.00,12.00,14.00,14.50,0.00,0.00,0.00,0.00
